SER_A,SER_C,SER_D,SER_E,SER_F,SER_G,SER_H,SER_I,SER_K,SER_L,SER_M,SER_N,SER_P,SER_Q,SER_R,SER_S,SER_T,SER_V,SER_W,SER_Y
-0.293,-0.05,-0.298,-0.225,-0.19,-0.343,-0.176,-0.261,-0.205,-0.288,-0.134,-0.205,-0.205,-0.152,-0.183,-0.198,-0.19,-0.237,-0.176,-0.168
-0.09,-0.111,-0.253,-0.253,-0.265,-0.15,-0.213,-0.407,-0.328,-0.309,-0.111,-0.277,-0.15,-0.038,-0.131,-0.277,-0.199,-0.111,-0.09,-0.227
-0.405,-0.048,-0.242,-0.163,-0.343,-0.275,-0.139,-0.275,-0.275,-0.242,-0.163,-0.163,-0.163,-0.139,-0.112,-0.259,-0.225,-0.242,-0.048,-0.083
-0.339,-0.339,-0.394,-0.417,-0.101,-0.101,0.0,-0.305,-0.101,-0.101,-0.168,-0.221,-0.266,0.0,-0.101,-0.221,0.0,-0.368,0.0,0.0
-0.28,-0.053,-0.243,-0.223,-0.177,-0.354,-0.152,-0.297,-0.223,-0.312,-0.091,-0.223,-0.123,-0.243,-0.152,-0.152,-0.271,-0.289,-0.03,-0.177
-0.291,-0.115,-0.227,-0.241,-0.205,-0.248,-0.155,-0.285,-0.197,-0.356,-0.115,-0.273,-0.173,-0.189,-0.213,-0.273,-0.189,-0.189,-0.054,-0.164
-0.128,-0.055,-0.157,-0.337,-0.251,-0.306,-0.055,-0.322,-0.364,-0.251,-0.157,-0.23,-0.055,-0.23,-0.094,-0.23,-0.322,-0.289,0.0,-0.055
-0.315,-0.072,-0.19,-0.223,-0.246,-0.341,-0.133,-0.143,-0.207,-0.231,-0.199,-0.098,-0.304,-0.163,-0.215,-0.273,-0.292,-0.253,-0.041,-0.163
-0.293,-0.096,-0.139,-0.233,-0.096,-0.15,-0.133,-0.203,-0.297,-0.297,-0.127,-0.17,-0.335,-0.327,-0.175,-0.273,-0.321,-0.256,-0.035,-0.068
-0.31,-0.065,-0.276,-0.118,-0.253,-0.272,-0.175,-0.205,-0.093,-0.281,-0.075,-0.248,-0.298,-0.187,-0.155,-0.267,-0.276,-0.306,-0.084,-0.141
-0.253,-0.101,-0.245,-0.289,-0.171,-0.227,-0.179,-0.242,-0.253,-0.307,-0.132,-0.179,-0.227,-0.196,-0.227,-0.253,-0.212,-0.272,-0.065,-0.168
-0.132,-0.07,-0.253,-0.317,-0.205,-0.262,-0.146,-0.287,-0.31,-0.31,-0.087,-0.287,-0.132,-0.215,-0.132,-0.253,-0.235,-0.183,-0.051,-0.225
-0.198,-0.249,-0.121,-0.23,-0.209,-0.301,-0.268,-0.149,-0.276,-0.249,-0.052,-0.136,-0.162,-0.285,-0.293,-0.308,-0.259,-0.187,-0.03,-0.149
-0.23,-0.131,-0.175,-0.23,-0.23,-0.29,-0.204,-0.195,-0.165,-0.385,-0.078,-0.185,-0.213,-0.222,-0.195,-0.297,-0.175,-0.247,-0.185,-0.131
-0.177,-0.107,-0.303,-0.303,-0.252,-0.122,-0.107,-0.27,-0.279,-0.346,-0.107,-0.211,-0.2,-0.211,-0.177,-0.2,-0.252,-0.151,-0.122,-0.242
-0.409,0.0,-0.107,-0.107,-0.053,-0.383,-0.137,-0.164,-0.107,-0.27,-0.072,-0.295,-0.211,-0.177,-0.151,-0.377,-0.252,-0.319,-0.072,-0.137
-0.285,-0.058,-0.245,-0.277,-0.195,-0.254,-0.098,-0.223,-0.266,-0.327,-0.114,-0.209,-0.202,-0.183,-0.219,-0.242,-0.226,-0.254,-0.119,-0.172
-0.281,-0.112,-0.251,-0.206,-0.212,-0.323,-0.119,-0.222,-0.178,-0.319,-0.112,-0.119,-0.222,-0.166,-0.264,-0.281,-0.227,-0.246,-0.104,-0.195
-0.382,0.0,-0.355,-0.234,-0.216,-0.377,-0.048,-0.139,-0.163,-0.291,-0.151,-0.139,-0.098,-0.066,-0.126,-0.268,-0.268,-0.283,-0.027,-0.225
-0.34,-0.11,-0.281,-0.232,-0.149,-0.275,-0.157,-0.269,-0.121,-0.336,-0.13,-0.157,-0.182,-0.219,-0.307,-0.197,-0.212,-0.239,-0.065,-0.13
-0.403,-0.087,-0.276,-0.194,-0.154,-0.326,-0.163,-0.171,-0.076,-0.326,-0.128,-0.128,-0.253,-0.154,-0.228,-0.208,-0.215,-0.307,-0.098,-0.128
-0.36,-0.052,-0.236,-0.261,-0.139,-0.297,-0.126,-0.143,-0.1,-0.365,-0.122,-0.064,-0.255,-0.183,-0.3,-0.242,-0.18,-0.313,-0.135,-0.135
-0.333,-0.079,-0.235,-0.134,-0.178,-0.356,-0.157,-0.146,-0.094,-0.345,-0.108,-0.108,-0.226,-0.146,-0.267,-0.345,-0.189,-0.333,-0.046,-0.146
-0.357,0.0,-0.346,-0.278,-0.083,-0.333,-0.083,-0.164,-0.307,-0.245,-0.048,-0.164,-0.048,-0.227,-0.379,-0.245,-0.14,-0.187,-0.083,-0.14
-0.343,-0.099,-0.191,-0.268,-0.191,-0.299,-0.111,-0.274,-0.224,-0.247,-0.183,-0.173,-0.247,-0.164,-0.216,-0.216,-0.173,-0.317,-0.086,-0.122
-0.318,-0.088,-0.287,-0.287,-0.126,-0.238,-0.114,-0.253,-0.329,-0.34,-0.126,-0.168,-0.114,-0.168,-0.222,-0.23,-0.26,-0.205,-0.024,-0.168
-0.289,-0.099,-0.184,-0.295,-0.174,-0.193,-0.073,-0.301,-0.307,-0.381,-0.165,-0.174,-0.165,-0.134,-0.184,-0.248,-0.174,-0.307,-0.058,-0.155
-0.246,0.0,-0.216,-0.232,-0.182,-0.274,0.0,-0.322,-0.332,-0.31,-0.2,-0.2,-0.2,-0.232,-0.26,-0.2,-0.232,-0.232,0.0,-0.144
-0.237,-0.093,-0.267,-0.31,-0.14,-0.237,-0.125,-0.227,-0.276,-0.378,-0.168,-0.193,-0.193,-0.168,-0.237,-0.248,-0.205,-0.237,-0.074,-0.11
-0.322,-0.071,-0.242,-0.256,-0.141,-0.276,-0.071,-0.228,-0.256,-0.347,-0.141,-0.16,-0.187,-0.151,-0.256,-0.242,-0.196,-0.316,-0.096,-0.141
-0.224,-0.138,-0.237,-0.22,-0.186,-0.275,-0.138,-0.178,-0.247,-0.326,-0.097,-0.143,-0.266,-0.178,-0.292,-0.357,-0.241,-0.209,-0.067,-0.097
-0.313,-0.163,-0.209,-0.158,-0.152,-0.32,-0.128,-0.218,-0.158,-0.29,-0.087,-0.115,-0.264,-0.169,-0.209,-0.264,-0.338,-0.307,-0.064,-0.169
-0.288,-0.124,-0.268,-0.295,-0.232,-0.25,-0.117,-0.18,-0.207,-0.331,-0.117,-0.109,-0.276,-0.186,-0.246,-0.25,-0.202,-0.222,-0.102,-0.163
-0.372,-0.083,-0.225,-0.206,-0.139,-0.298,-0.139,-0.113,-0.126,-0.366,-0.151,-0.139,-0.225,-0.174,-0.26,-0.196,-0.26,-0.338,-0.126,-0.098
-0.208,-0.136,-0.175,-0.227,-0.195,-0.208,-0.202,-0.167,-0.227,-0.286,-0.136,-0.233,-0.338,-0.202,-0.182,-0.353,-0.188,-0.26,-0.101,-0.152
-0.356,-0.412,-0.127,-0.146,-0.127,-0.463,0.0,-0.087,-0.178,-0.193,-0.127,-0.221,-0.127,-0.259,-0.127,-0.27,-0.193,-0.087,-0.087,-0.178
-0.15,-0.033,-0.229,-0.262,-0.192,-0.262,-0.134,-0.272,-0.326,-0.37,-0.134,-0.272,-0.165,-0.165,-0.217,-0.229,-0.229,-0.24,-0.058,-0.15
-0.369,0.0,-0.257,-0.309,-0.192,-0.257,-0.177,-0.126,-0.206,-0.376,-0.107,-0.161,-0.107,-0.192,-0.257,-0.219,-0.192,-0.268,-0.063,-0.177
-0.212,0.0,-0.172,-0.378,-0.203,-0.203,-0.097,-0.239,-0.333,-0.382,-0.065,-0.137,-0.222,-0.047,-0.28,-0.272,-0.137,-0.264,-0.065,-0.212
-0.244,-0.103,-0.244,-0.31,-0.194,-0.331,-0.07,-0.253,-0.295,-0.295,-0.159,-0.132,-0.183,-0.087,-0.205,-0.183,-0.244,-0.344,-0.087,-0.103
-0.313,-0.086,-0.173,-0.239,-0.177,-0.313,-0.116,-0.231,-0.26,-0.332,-0.104,-0.138,-0.263,-0.173,-0.227,-0.277,-0.177,-0.286,-0.065,-0.158
-0.303,-0.051,-0.216,-0.34,-0.143,-0.278,-0.094,-0.204,-0.246,-0.343,-0.106,-0.106,-0.216,-0.175,-0.3,-0.186,-0.184,-0.33,-0.048,-0.155
-0.334,-0.039,-0.258,-0.282,-0.17,-0.314,-0.153,-0.17,-0.232,-0.343,-0.134,-0.218,-0.232,-0.092,-0.17,-0.187,-0.27,-0.293,-0.067,-0.092
-0.326,-0.035,-0.266,-0.164,-0.164,-0.343,-0.078,-0.152,-0.152,-0.32,-0.103,-0.238,-0.189,-0.21,-0.261,-0.266,-0.277,-0.216,-0.088,-0.226
-0.435,-0.141,-0.229,-0.084,-0.188,-0.371,0.0,-0.141,-0.084,-0.229,-0.049,-0.166,-0.188,-0.141,-0.166,-0.309,-0.323,-0.382,-0.084,-0.049
-0.459,-0.15,-0.224,-0.284,-0.15,-0.297,-0.103,-0.15,-0.127,-0.27,-0.103,-0.15,-0.075,-0.15,-0.208,-0.224,-0.309,-0.284,-0.127,-0.103
-0.345,-0.017,-0.226,-0.246,-0.198,-0.209,-0.117,-0.251,-0.226,-0.331,-0.117,-0.198,-0.275,-0.22,-0.198,-0.226,-0.241,-0.215,-0.101,-0.174
-0.343,-0.01,-0.25,-0.242,-0.174,-0.213,-0.079,-0.2,-0.255,-0.322,-0.16,-0.207,-0.228,-0.242,-0.204,-0.275,-0.187,-0.252,-0.089,-0.187
-0.344,-0.044,-0.161,-0.304,-0.103,-0.233,-0.076,-0.278,-0.257,-0.322,-0.128,-0.161,-0.217,-0.19,-0.15,-0.208,-0.278,-0.304,-0.09,-0.217
-0.228,-0.172,-0.218,-0.255,-0.196,-0.274,-0.121,-0.206,-0.262,-0.272,-0.098,-0.241,-0.204,-0.167,-0.176,-0.307,-0.255,-0.187,-0.192,-0.2
-0.291,0.0,-0.213,-0.247,-0.175,-0.175,-0.045,-0.231,-0.106,-0.381,-0.045,-0.247,-0.213,-0.175,-0.247,-0.231,-0.39,-0.277,-0.078,-0.175
-0.353,-0.101,-0.22,-0.208,-0.22,-0.244,-0.152,-0.195,-0.285,-0.295,-0.136,-0.244,-0.22,-0.167,-0.181,-0.22,-0.195,-0.255,-0.136,-0.167
-0.369,-0.147,-0.245,-0.253,-0.122,-0.311,-0.147,-0.245,-0.269,-0.261,-0.135,-0.122,-0.109,-0.169,-0.19,-0.228,-0.269,-0.291,-0.064,-0.158
-0.225,-0.074,-0.274,-0.299,-0.192,-0.192,-0.139,-0.344,-0.307,-0.246,-0.153,-0.307,-0.031,-0.179,-0.153,-0.203,-0.236,-0.246,-0.092,-0.203
-0.327,-0.042,-0.281,-0.281,-0.247,-0.268,-0.144,-0.24,-0.164,-0.311,-0.154,-0.173,-0.164,-0.144,-0.216,-0.224,-0.311,-0.216,-0.042,-0.154
-0.437,-0.156,-0.156,-0.349,0.0,-0.156,-0.094,-0.25,-0.207,-0.25,-0.094,-0.094,-0.094,-0.287,-0.094,-0.207,-0.398,-0.349,0.0,0.0
-0.469,-0.032,-0.231,-0.231,-0.171,-0.271,-0.055,-0.22,-0.128,-0.314,-0.143,-0.112,-0.262,-0.197,-0.262,-0.242,-0.171,-0.242,-0.076,-0.055
-0.347,-0.075,-0.215,-0.289,-0.198,-0.232,-0.17,-0.215,-0.17,-0.331,-0.115,-0.224,-0.127,-0.262,-0.24,-0.159,-0.262,-0.269,-0.127,-0.102
-0.297,-0.087,-0.256,-0.225,-0.207,-0.262,-0.138,-0.204,-0.252,-0.297,-0.133,-0.195,-0.227,-0.168,-0.2,-0.235,-0.273,-0.283,-0.07,-0.176
-0.37,0.0,-0.254,-0.188,-0.169,-0.351,-0.102,-0.223,-0.075,-0.319,-0.126,-0.169,-0.188,-0.239,-0.295,-0.223,-0.188,-0.268,-0.126,-0.148
-0.286,-0.149,-0.065,-0.065,-0.182,-0.239,-0.182,-0.11,-0.327,-0.405,-0.149,-0.149,-0.286,-0.11,-0.345,-0.212,-0.182,-0.286,-0.065,-0.182
-0.42,0.0,-0.203,-0.212,-0.118,-0.326,-0.045,-0.229,-0.282,-0.326,-0.118,-0.237,-0.13,-0.193,-0.174,-0.22,-0.193,-0.332,-0.062,-0.077
-0.27,-0.081,-0.245,-0.225,-0.158,-0.302,-0.137,-0.177,-0.153,-0.266,-0.125,-0.158,-0.293,-0.153,-0.286,-0.378,-0.241,-0.248,-0.074,-0.119
-0.347,-0.052,-0.288,-0.266,-0.176,-0.228,-0.176,-0.131,-0.078,-0.368,-0.141,-0.09,-0.272,-0.131,-0.304,-0.214,-0.254,-0.319,-0.052,-0.09
-0.304,-0.135,-0.19,-0.253,-0.236,-0.311,-0.08,-0.158,-0.21,-0.364,-0.169,-0.2,-0.245,-0.122,-0.19,-0.261,-0.169,-0.298,0.0,-0.18
-0.35,0.0,-0.089,-0.209,-0.259,-0.276,-0.03,-0.22,-0.121,-0.38,-0.187,-0.187,-0.23,-0.149,-0.162,-0.24,-0.268,-0.301,-0.106,-0.23
-0.408,-0.027,-0.171,-0.263,-0.123,-0.332,-0.096,-0.11,-0.191,-0.428,-0.065,-0.081,-0.246,-0.148,-0.285,-0.191,-0.238,-0.278,0.0,-0.11
-0.181,-0.081,-0.229,-0.325,-0.181,-0.22,-0.11,-0.201,-0.306,-0.332,-0.201,-0.191,-0.171,-0.27,-0.211,-0.263,-0.181,-0.246,-0.027,-0.201
-0.36,-0.075,-0.26,-0.222,-0.214,-0.312,-0.126,-0.268,-0.197,-0.288,-0.126,-0.148,-0.178,-0.188,-0.222,-0.238,-0.26,-0.246,-0.102,-0.089
-0.374,0.0,-0.174,-0.258,0.0,-0.362,-0.149,-0.322,-0.276,-0.149,-0.121,-0.121,-0.239,-0.089,-0.336,-0.239,-0.219,-0.258,-0.089,-0.121
-0.224,0.0,-0.175,-0.312,-0.157,-0.252,-0.04,-0.252,-0.407,-0.301,-0.094,-0.224,-0.157,-0.208,-0.208,-0.208,-0.238,-0.224,-0.04,-0.265
-0.224,0.0,-0.241,-0.205,-0.138,-0.289,-0.162,-0.274,-0.342,-0.317,-0.082,-0.184,-0.112,-0.184,-0.385,-0.112,-0.241,-0.289,-0.082,-0.112
-0.391,-0.023,-0.263,-0.255,-0.154,-0.305,-0.12,-0.129,-0.054,-0.369,-0.085,-0.092,-0.289,-0.135,-0.301,-0.196,-0.238,-0.309,-0.072,-0.111
-0.382,-0.096,-0.278,-0.232,-0.168,-0.294,-0.107,-0.191,-0.16,-0.289,-0.126,-0.116,-0.219,-0.198,-0.244,-0.232,-0.256,-0.273,-0.116,-0.135
-0.359,-0.102,-0.213,-0.26,-0.169,-0.3,-0.157,-0.233,-0.218,-0.325,-0.169,-0.151,-0.208,-0.169,-0.197,-0.237,-0.186,-0.285,-0.06,-0.131
-0.286,-0.177,-0.21,-0.233,-0.202,-0.34,-0.139,-0.226,-0.297,-0.267,-0.118,-0.168,-0.21,-0.129,-0.139,-0.226,-0.233,-0.358,-0.083,-0.056
-0.298,-0.131,-0.235,-0.277,-0.191,-0.229,-0.191,-0.268,-0.29,-0.277,-0.053,-0.196,-0.172,-0.202,-0.213,-0.24,-0.245,-0.24,-0.082,-0.152
-0.325,-0.083,-0.26,-0.268,-0.225,-0.276,-0.151,-0.291,-0.26,-0.252,-0.098,-0.185,-0.196,-0.185,-0.216,-0.196,-0.185,-0.26,-0.083,-0.174
-0.356,-0.145,-0.118,-0.193,-0.17,-0.337,-0.087,-0.182,-0.118,-0.413,-0.132,-0.07,-0.234,-0.182,-0.182,-0.193,-0.278,-0.27,-0.132,-0.215
-0.425,-0.052,-0.189,-0.245,-0.139,-0.33,-0.139,-0.245,-0.157,-0.28,-0.13,-0.11,-0.245,-0.139,-0.274,-0.238,-0.238,-0.251,-0.089,-0.089
-0.335,-0.028,-0.177,-0.335,-0.114,-0.365,-0.049,-0.128,-0.177,-0.4,-0.128,-0.067,-0.228,-0.128,-0.287,-0.219,-0.219,-0.287,-0.049,-0.154
-0.293,-0.211,-0.161,-0.286,-0.172,-0.177,-0.172,-0.166,-0.286,-0.319,-0.079,-0.177,-0.265,-0.215,-0.206,-0.29,-0.228,-0.249,-0.071,-0.138
-0.309,-0.075,-0.262,-0.274,-0.177,-0.257,-0.177,-0.245,-0.169,-0.289,-0.153,-0.153,-0.199,-0.199,-0.245,-0.251,-0.274,-0.232,-0.107,-0.144
-0.178,-0.036,-0.33,-0.311,-0.207,-0.221,-0.063,-0.301,-0.301,-0.392,-0.145,-0.127,-0.221,-0.145,-0.246,-0.178,-0.258,-0.127,-0.063,-0.145
-0.324,-0.21,-0.142,-0.23,-0.337,-0.23,-0.142,-0.085,-0.189,-0.21,-0.189,-0.23,-0.115,-0.23,-0.167,-0.35,-0.142,-0.23,-0.23,-0.167
-0.232,-0.107,-0.269,-0.353,-0.152,-0.088,-0.107,-0.258,-0.362,-0.358,-0.074,-0.247,-0.059,-0.19,-0.224,-0.329,-0.247,-0.152,-0.024,-0.094
-0.411,0.0,-0.26,-0.191,-0.133,-0.28,-0.133,-0.191,-0.316,-0.299,-0.058,-0.191,-0.058,-0.058,-0.316,-0.26,-0.26,-0.299,0.0,-0.133
-0.254,-0.075,-0.231,-0.188,-0.247,-0.231,-0.075,-0.325,-0.115,-0.352,-0.089,-0.231,-0.215,-0.188,-0.247,-0.261,-0.206,-0.268,-0.149,-0.179
-0.306,-0.128,-0.208,-0.275,-0.143,-0.275,-0.112,-0.135,-0.103,-0.388,-0.066,-0.112,-0.337,-0.128,-0.202,-0.337,-0.208,-0.256,-0.15,-0.143
-0.272,-0.062,-0.212,-0.226,-0.2,-0.253,-0.126,-0.253,-0.184,-0.312,-0.145,-0.2,-0.206,-0.214,-0.242,-0.318,-0.214,-0.253,-0.101,-0.193
-0.218,-0.14,-0.268,-0.248,-0.199,-0.222,-0.109,-0.26,-0.343,-0.329,-0.095,-0.194,-0.158,-0.174,-0.179,-0.319,-0.218,-0.227,-0.08,-0.152
-0.217,0.0,-0.282,-0.3,-0.24,-0.262,-0.099,-0.262,-0.262,-0.262,-0.165,-0.282,-0.134,-0.058,-0.217,-0.24,-0.24,-0.318,-0.058,-0.165
-0.347,0.0,-0.294,-0.141,-0.234,-0.375,-0.108,-0.184,-0.191,-0.26,-0.058,-0.25,-0.116,-0.184,-0.116,-0.308,-0.294,-0.25,-0.079,-0.184
-0.414,-0.093,-0.262,-0.229,-0.146,-0.334,-0.137,-0.221,-0.146,-0.314,-0.126,-0.022,-0.126,-0.174,-0.286,-0.221,-0.198,-0.319,-0.105,-0.081
-0.421,-0.039,-0.204,-0.26,-0.188,-0.331,-0.115,-0.196,-0.233,-0.196,-0.145,-0.163,-0.26,-0.154,-0.135,-0.233,-0.226,-0.311,-0.022,-0.172
-0.296,-0.139,-0.243,-0.301,-0.199,-0.296,-0.147,-0.237,-0.192,-0.266,-0.122,-0.171,-0.199,-0.163,-0.206,-0.213,-0.26,-0.281,-0.06,-0.192
-0.283,-0.021,-0.256,-0.217,-0.227,-0.291,-0.131,-0.224,-0.21,-0.324,-0.141,-0.15,-0.234,-0.237,-0.231,-0.25,-0.237,-0.195,-0.106,-0.202
-0.368,-0.067,-0.186,-0.244,-0.164,-0.277,-0.127,-0.175,-0.235,-0.339,-0.083,-0.226,-0.217,-0.152,-0.186,-0.186,-0.32,-0.277,-0.113,-0.14
-0.267,-0.072,-0.28,-0.254,-0.173,-0.191,-0.164,-0.246,-0.224,-0.366,-0.154,-0.182,-0.208,-0.191,-0.224,-0.232,-0.224,-0.246,-0.086,-0.191
-0.333,-0.059,-0.279,-0.316,-0.157,-0.327,-0.088,-0.338,-0.272,-0.221,-0.125,-0.136,-0.244,-0.101,-0.101,-0.177,-0.221,-0.298,-0.059,-0.157
-0.332,-0.096,-0.196,-0.279,-0.138,-0.257,-0.153,-0.163,-0.237,-0.353,-0.062,-0.138,-0.22,-0.237,-0.291,-0.291,-0.223,-0.262,-0.025,-0.096
-0.289,-0.06,-0.258,-0.258,-0.236,-0.154,-0.184,-0.247,-0.269,-0.317,-0.154,-0.299,-0.121,-0.198,-0.138,-0.247,-0.211,-0.247,-0.06,-0.198
-0.358,-0.034,-0.224,-0.326,-0.155,-0.386,-0.103,-0.236,-0.198,-0.365,-0.121,0.0,-0.27,-0.034,-0.259,-0.082,-0.185,-0.318,0.0,-0.121
-0.37,0.0,-0.159,-0.312,-0.136,-0.22,-0.081,-0.159,-0.299,-0.285,-0.159,-0.181,-0.181,-0.11,-0.359,-0.254,-0.159,-0.337,-0.081,-0.11
-0.193,-0.238,-0.173,-0.207,-0.207,-0.288,-0.133,-0.225,-0.254,-0.281,-0.108,-0.203,-0.188,-0.221,-0.188,-0.298,-0.288,-0.242,-0.101,-0.178
-0.327,-0.117,-0.144,-0.212,-0.191,-0.25,-0.184,-0.097,-0.206,-0.349,-0.135,-0.152,-0.353,-0.191,-0.25,-0.318,-0.199,-0.219,-0.117,-0.063
-0.431,-0.232,-0.272,-0.185,-0.128,-0.272,-0.055,-0.128,-0.185,-0.232,-0.209,-0.055,-0.209,-0.185,-0.209,-0.29,-0.29,-0.232,0.0,-0.185
-0.303,0.0,-0.311,-0.303,-0.248,-0.324,-0.127,-0.231,-0.269,-0.307,-0.143,-0.18,-0.207,-0.118,-0.127,-0.194,-0.207,-0.225,-0.034,-0.194
-0.293,0.0,-0.286,-0.269,-0.189,-0.251,-0.052,-0.203,-0.286,-0.323,-0.115,-0.198,-0.194,-0.184,-0.259,-0.224,-0.248,-0.28,-0.052,-0.16
-0.266,-0.16,-0.16,-0.187,-0.212,-0.302,-0.174,-0.212,-0.235,-0.369,-0.114,-0.174,-0.266,-0.174,-0.245,-0.245,-0.245,-0.224,-0.077,-0.114
-0.307,-0.049,-0.217,-0.382,-0.181,-0.134,-0.099,-0.212,-0.334,-0.349,-0.187,-0.153,-0.17,-0.217,-0.266,-0.197,-0.202,-0.176,-0.067,-0.134
-0.258,-0.042,-0.22,-0.285,-0.271,-0.25,-0.136,-0.243,-0.326,-0.315,-0.124,-0.212,-0.185,-0.185,-0.194,-0.203,-0.185,-0.236,-0.1,-0.185
-0.395,-0.027,-0.246,-0.22,-0.171,-0.306,0.0,-0.229,-0.319,-0.292,-0.159,-0.229,-0.159,-0.159,-0.11,-0.229,-0.211,-0.319,-0.065,-0.11
-0.322,-0.06,-0.199,-0.271,-0.128,-0.291,-0.139,-0.344,-0.257,-0.328,-0.076,-0.09,-0.199,-0.103,-0.257,-0.285,-0.19,-0.271,-0.044,-0.161
-0.245,-0.094,-0.221,-0.262,-0.172,-0.233,-0.084,-0.251,-0.262,-0.307,-0.104,-0.273,-0.208,-0.239,-0.201,-0.346,-0.256,-0.214,-0.049,-0.084
-0.418,0.0,-0.232,-0.287,-0.2,-0.287,0.0,-0.232,-0.388,-0.232,-0.072,-0.232,-0.164,-0.2,-0.2,-0.2,-0.164,-0.287,0.0,0.0
-0.305,-0.103,-0.219,-0.273,-0.213,-0.31,-0.103,-0.231,-0.255,-0.31,-0.117,-0.196,-0.206,-0.185,-0.189,-0.209,-0.228,-0.296,-0.078,-0.117
-0.308,-0.072,-0.215,-0.23,-0.259,-0.245,-0.198,-0.259,-0.215,-0.319,-0.121,-0.181,-0.162,-0.215,-0.181,-0.259,-0.245,-0.23,-0.098,-0.181
-0.407,-0.092,-0.315,-0.271,-0.114,-0.259,-0.188,-0.171,-0.114,-0.393,-0.114,-0.092,-0.246,-0.067,-0.283,-0.188,-0.188,-0.232,-0.135,-0.067
-0.24,-0.075,-0.302,-0.297,-0.17,-0.24,-0.208,-0.228,-0.228,-0.286,-0.087,-0.221,-0.234,-0.154,-0.136,-0.321,-0.214,-0.253,-0.154,-0.108
-0.255,-0.103,-0.198,-0.254,-0.161,-0.3,-0.116,-0.242,-0.246,-0.32,-0.179,-0.155,-0.199,-0.151,-0.24,-0.239,-0.293,-0.265,-0.14,-0.125
-0.154,-0.049,-0.273,-0.247,-0.229,-0.238,-0.129,-0.349,-0.273,-0.31,-0.115,-0.28,-0.142,-0.199,-0.178,-0.296,-0.199,-0.22,-0.068,-0.154
-0.347,-0.029,-0.285,-0.157,-0.131,-0.335,-0.157,-0.251,-0.157,-0.292,-0.157,-0.157,-0.213,-0.144,-0.242,-0.242,-0.223,-0.347,-0.069,-0.102
-0.386,-0.02,-0.276,-0.27,-0.151,-0.291,-0.142,-0.159,-0.115,-0.39,-0.124,-0.085,-0.23,-0.133,-0.341,-0.174,-0.167,-0.286,-0.074,-0.095
-0.228,-0.12,-0.283,-0.439,-0.283,-0.197,-0.228,-0.161,-0.306,-0.306,-0.228,-0.161,0.0,-0.161,-0.071,-0.197,-0.161,-0.283,0.0,-0.071
-0.349,-0.092,-0.232,-0.3,-0.144,-0.218,-0.135,-0.203,-0.252,-0.246,-0.08,-0.125,-0.252,-0.171,-0.335,-0.32,-0.125,-0.259,-0.039,-0.18
-0.302,-0.024,-0.219,-0.331,-0.194,-0.325,-0.124,-0.346,-0.242,-0.284,-0.073,-0.1,-0.135,-0.146,-0.202,-0.264,-0.242,-0.257,0.0,-0.175
-0.319,-0.083,-0.175,-0.048,-0.164,-0.332,-0.027,-0.216,-0.113,-0.269,-0.048,-0.284,-0.226,-0.175,-0.139,-0.306,-0.332,-0.367,-0.083,-0.226
-0.363,-0.037,-0.29,-0.262,-0.139,-0.268,-0.139,-0.156,-0.064,-0.371,-0.148,-0.088,-0.285,-0.11,-0.343,-0.181,-0.237,-0.268,-0.088,-0.11
-0.364,-0.038,-0.168,-0.32,-0.184,-0.289,-0.09,-0.241,-0.241,-0.356,-0.15,-0.112,-0.228,-0.184,-0.228,-0.184,-0.199,-0.3,0.0,-0.112
-0.369,-0.047,-0.249,-0.269,-0.173,-0.303,-0.097,-0.232,-0.218,-0.266,-0.144,-0.199,-0.194,-0.178,-0.213,-0.236,-0.218,-0.303,-0.047,-0.138
-0.29,-0.006,-0.273,-0.249,-0.171,-0.296,-0.107,-0.168,-0.306,-0.266,-0.097,-0.257,-0.158,-0.179,-0.156,-0.251,-0.304,-0.261,-0.112,-0.192
-0.256,-0.251,-0.214,-0.293,-0.112,-0.241,-0.128,-0.15,-0.164,-0.314,-0.12,-0.15,-0.271,-0.284,-0.289,-0.196,-0.236,-0.256,-0.094,-0.143
-0.2,-0.101,-0.215,-0.276,-0.2,-0.155,-0.107,-0.225,-0.301,-0.284,-0.127,-0.204,-0.273,-0.189,-0.185,-0.379,-0.242,-0.208,-0.078,-0.181
-0.279,-0.114,-0.279,-0.141,-0.187,-0.279,-0.141,-0.141,-0.294,-0.37,-0.208,-0.208,-0.165,-0.187,-0.084,-0.308,-0.263,-0.279,-0.049,-0.084
-0.357,-0.08,-0.21,-0.282,-0.179,-0.324,-0.162,-0.232,-0.304,-0.343,-0.134,-0.153,-0.187,-0.203,-0.17,-0.195,-0.187,-0.21,-0.022,-0.134
-0.33,-0.1,-0.29,-0.256,-0.166,-0.29,-0.184,-0.226,-0.1,-0.341,-0.175,-0.112,-0.219,-0.156,-0.283,-0.226,-0.193,-0.27,-0.058,-0.124
-0.318,-0.048,-0.151,-0.139,-0.215,-0.343,-0.066,-0.381,-0.163,-0.418,-0.151,-0.215,-0.112,-0.066,-0.112,-0.275,-0.112,-0.318,-0.083,-0.163
-0.246,-0.067,-0.218,-0.218,-0.187,-0.328,-0.049,-0.208,-0.279,-0.353,-0.084,-0.165,-0.315,-0.187,-0.335,-0.141,-0.198,-0.218,-0.028,-0.198
