SEP_PC,SEP_NC,SEP_NE,SEP_PO,SEP_NP,SEP_AL,SEP_CY,SEP_AR,SEP_AC,SEP_BS,SEP_NE_pH,SEP_HB,SEP_HL,SEP_NT,SEP_HX,SEP_SC,SEP_SS_HE,SEP_SS_ST,SEP_SS_CO,SEP_SA_BU,SEP_SA_EX,SEP_SA_IN,SEP_TN,SEP_SM,SEP_LR
0.528,0.514,0.786,0.684,0.997,0.986,0.336,0.568,0.514,0.528,0.786,0.998,0.786,0.852,0.317,0.256,1.0,0.824,0.817,0.994,0.938,0.769,0.786,1.0,1.0
0.567,0.589,0.849,0.678,1.0,0.984,0.268,0.482,0.589,0.567,0.849,1.0,0.746,0.934,0.469,0.25,0.98,0.865,0.876,0.997,0.881,0.754,0.805,1.0,1.0
0.435,0.451,0.689,0.821,0.998,0.954,0.25,0.538,0.451,0.435,0.689,0.99,0.759,0.966,0.64,0.207,0.9,0.892,0.954,0.972,0.891,0.875,0.806,0.99,0.99
0.559,0.636,0.87,0.547,0.988,1.0,0.331,0.411,0.636,0.559,0.87,0.995,0.739,0.911,0.348,0.1,1.0,0.771,0.835,1.0,0.897,0.686,0.794,1.0,1.0
0.535,0.626,0.853,0.814,0.99,0.973,0.382,0.229,0.626,0.535,0.853,0.98,0.77,0.996,0.626,0.118,0.999,0.687,0.919,0.939,0.963,0.853,0.823,1.0,1.0
0.555,0.586,0.841,0.606,0.997,0.992,0.316,0.3,0.586,0.555,0.841,0.991,0.788,0.872,0.388,0.36,0.998,0.836,0.825,0.989,0.923,0.781,0.717,1.0,1.0
0.647,0.527,0.862,0.698,1.0,0.971,0.418,0.493,0.527,0.647,0.862,0.998,0.862,0.92,0.505,0.217,0.975,0.835,0.912,0.977,0.92,0.872,0.766,1.0,1.0
0.509,0.632,0.844,0.606,0.989,0.999,0.269,0.355,0.632,0.509,0.844,0.997,0.673,0.951,0.488,0.203,0.995,0.818,0.864,1.0,0.834,0.739,0.868,0.978,0.978
0.785,0.443,0.911,0.59,0.998,0.964,0.231,0.47,0.443,0.785,0.911,0.996,0.911,0.826,0.37,0.147,0.999,0.844,0.748,0.984,0.928,0.68,0.698,0.983,0.983
0.221,0.405,0.519,0.997,0.961,0.917,0.299,0.333,0.405,0.221,0.519,0.985,0.524,0.983,0.972,0.193,0.749,0.993,0.922,0.918,0.74,1.0,0.867,0.88,0.88
0.562,0.562,0.832,0.817,0.997,0.978,0.316,0.365,0.562,0.562,0.832,0.996,0.725,0.982,0.582,0.264,0.999,0.78,0.87,0.98,0.86,0.84,0.876,0.996,0.996
0.704,0.475,0.873,0.71,0.99,0.955,0.154,0.475,0.475,0.704,0.873,0.983,0.86,0.881,0.532,0.219,0.986,0.842,0.881,0.977,0.913,0.809,0.819,1.0,1.0
0.546,0.521,0.8,0.767,1.0,0.987,0.311,0.359,0.521,0.546,0.8,1.0,0.757,0.961,0.593,0.219,0.961,0.884,0.897,0.987,0.89,0.838,0.814,0.992,0.992
0.539,0.567,0.822,0.595,0.976,0.999,0.236,0.428,0.567,0.539,0.822,0.998,0.657,0.938,0.445,0.115,0.998,0.798,0.859,0.996,0.748,0.723,0.888,0.989,0.989
0.518,0.534,0.791,0.782,1.0,0.97,0.153,0.467,0.534,0.518,0.791,0.999,0.648,0.963,0.608,0.285,0.984,0.916,0.8,0.994,0.842,0.8,0.752,0.997,0.997
0.608,0.575,0.863,0.773,0.994,0.95,0.215,0.43,0.575,0.608,0.863,0.998,0.755,0.945,0.544,0.303,1.0,0.833,0.807,0.972,0.902,0.831,0.725,0.992,0.992
0.409,0.443,0.666,0.859,1.0,0.988,0.312,0.413,0.443,0.409,0.666,0.997,0.704,0.973,0.724,0.148,0.913,0.923,0.919,0.979,0.876,0.914,0.829,0.938,0.938
0.621,0.433,0.801,0.64,0.982,1.0,0.476,0.397,0.433,0.621,0.801,0.986,0.845,0.873,0.492,0.147,1.0,0.769,0.848,0.998,0.821,0.856,0.725,0.997,0.997
0.539,0.534,0.803,0.7,0.996,0.997,0.302,0.437,0.534,0.539,0.803,1.0,0.735,0.935,0.482,0.174,0.985,0.848,0.877,0.998,0.843,0.803,0.825,0.998,0.998
0.528,0.505,0.78,0.812,0.998,0.963,0.279,0.43,0.505,0.528,0.78,1.0,0.749,0.951,0.585,0.338,0.966,0.894,0.878,0.981,0.878,0.848,0.807,0.998,0.998
0.439,0.454,0.693,0.795,0.995,1.0,0.402,0.207,0.454,0.439,0.693,0.997,0.725,0.971,0.624,0.072,0.987,0.785,0.918,0.994,0.927,0.833,0.866,0.969,0.969
0.561,0.524,0.811,0.745,0.999,0.964,0.342,0.571,0.524,0.561,0.811,1.0,0.819,0.895,0.519,0.194,0.947,0.936,0.857,0.986,0.913,0.842,0.696,1.0,1.0
0.581,0.494,0.806,0.71,1.0,0.974,0.34,0.456,0.494,0.581,0.806,0.998,0.819,0.891,0.513,0.308,0.98,0.884,0.858,0.99,0.909,0.819,0.692,0.994,0.994
0.667,0.623,0.914,0.694,0.992,0.95,0.134,0.405,0.623,0.667,0.914,0.99,0.778,0.935,0.486,0.272,1.0,0.833,0.804,0.981,0.92,0.744,0.713,0.975,0.975
0.55,0.517,0.8,0.749,1.0,0.982,0.295,0.342,0.517,0.55,0.8,0.999,0.77,0.946,0.55,0.217,0.996,0.818,0.86,0.982,0.908,0.79,0.749,0.999,0.999
0.626,0.48,0.827,0.561,0.981,0.999,0.359,0.396,0.48,0.626,0.827,0.995,0.815,0.859,0.378,0.183,1.0,0.764,0.849,0.999,0.791,0.741,0.842,0.996,0.996
0.531,0.294,0.663,0.623,0.944,0.997,0.216,0.663,0.294,0.531,0.663,0.944,0.701,0.663,0.424,0.294,0.992,0.958,0.663,0.992,0.701,0.797,0.701,0.969,0.969
0.588,0.461,0.793,0.683,0.992,0.99,0.352,0.431,0.461,0.588,0.793,0.994,0.786,0.888,0.475,0.335,0.999,0.801,0.801,0.99,0.888,0.848,0.738,0.99,0.99
0.581,0.46,0.789,0.681,1.0,0.976,0.218,0.437,0.46,0.581,0.789,1.0,0.833,0.871,0.46,0.218,0.968,0.918,0.843,0.997,0.918,0.777,0.725,1.0,1.0
0.464,0.437,0.698,0.526,0.925,0.964,0.283,0.247,0.437,0.464,0.698,0.974,0.681,0.885,0.365,0.265,0.993,0.818,0.875,0.962,0.724,0.644,0.953,0.936,0.936
0.702,0.475,0.872,0.849,0.97,0.928,0.291,0.319,0.475,0.702,0.872,0.987,0.849,0.946,0.546,0.346,1.0,0.78,0.824,0.94,0.954,0.849,0.809,0.999,0.999
0.569,0.542,0.825,0.689,0.997,0.993,0.285,0.498,0.542,0.569,0.825,0.999,0.739,0.918,0.409,0.253,0.988,0.897,0.813,0.996,0.84,0.821,0.758,1.0,1.0
0.402,0.456,0.671,0.876,1.0,0.999,0.402,0.242,0.456,0.402,0.671,0.996,0.671,0.955,0.456,0.615,0.961,0.821,0.943,0.987,0.821,0.753,0.996,0.929,0.929
0.476,0.397,0.681,0.783,0.991,0.999,0.307,0.459,0.397,0.476,0.681,0.999,0.698,0.935,0.545,0.214,0.996,0.817,0.859,0.998,0.825,0.869,0.883,0.996,0.996
0.574,0.587,0.852,0.732,0.998,0.971,0.236,0.431,0.587,0.574,0.852,0.994,0.755,0.966,0.552,0.148,0.986,0.832,0.889,0.98,0.931,0.786,0.78,0.999,0.999
0.663,0.489,0.854,0.663,1.0,0.997,0.208,0.208,0.489,0.663,0.854,0.999,0.805,0.936,0.538,0.208,0.962,0.913,0.865,0.998,0.865,0.681,0.818,0.988,0.988
0.526,0.469,0.758,0.688,0.996,0.995,0.281,0.434,0.469,0.526,0.758,1.0,0.773,0.894,0.469,0.257,0.971,0.868,0.894,0.999,0.894,0.768,0.818,0.997,0.997
0.627,0.187,0.692,0.722,0.971,0.998,0.469,0.422,0.187,0.627,0.692,0.952,0.844,0.8,0.592,0.108,0.999,0.8,0.8,0.999,0.822,0.898,0.822,0.999,0.999
0.61,0.568,0.861,0.7,1.0,0.976,0.298,0.42,0.568,0.61,0.861,1.0,0.79,0.922,0.478,0.263,0.998,0.838,0.828,0.986,0.916,0.78,0.751,0.998,0.998
0.619,0.533,0.849,0.837,0.95,0.9,0.336,0.336,0.533,0.619,0.849,0.965,0.887,0.97,0.675,0.206,0.973,0.765,0.954,0.882,0.971,0.889,0.747,0.999,0.999
0.573,0.657,0.887,0.791,0.975,0.887,0.29,0.389,0.657,0.573,0.887,0.999,0.791,0.932,0.549,0.5,0.998,0.855,0.804,0.946,0.946,0.855,0.776,0.998,0.998
0.603,0.633,0.89,0.743,0.991,0.963,0.22,0.364,0.633,0.603,0.89,0.996,0.761,0.955,0.531,0.22,0.996,0.854,0.822,0.979,0.914,0.761,0.743,0.997,0.997
0.665,0.608,0.907,0.709,0.993,0.975,0.185,0.36,0.608,0.665,0.907,0.995,0.785,0.938,0.484,0.164,0.998,0.879,0.778,0.983,0.927,0.709,0.741,0.999,0.999
0.613,0.533,0.845,0.772,0.994,0.963,0.275,0.486,0.533,0.613,0.845,0.999,0.802,0.902,0.502,0.252,0.969,0.927,0.827,0.982,0.921,0.808,0.697,0.994,0.994
0.5,0.5,0.76,0.658,0.996,0.986,0.265,0.571,0.5,0.5,0.76,0.999,0.778,0.904,0.436,0.081,0.979,0.869,0.875,0.999,0.915,0.751,0.778,0.994,0.994
0.593,0.581,0.858,0.698,0.997,0.94,0.284,0.567,0.581,0.593,0.858,0.999,0.815,0.917,0.526,0.193,0.962,0.917,0.858,0.972,0.948,0.807,0.631,0.99,0.99
0.191,0.431,0.523,0.431,0.787,0.937,0.0,0.431,0.431,0.191,0.523,0.96,0.323,0.908,0.323,0.191,0.977,0.672,0.787,0.834,0.672,0.431,0.937,0.977,0.977
0.619,0.615,0.889,0.801,0.947,0.9,0.245,0.4,0.615,0.619,0.889,0.984,0.855,0.982,0.659,0.076,0.933,0.918,0.902,0.899,0.99,0.847,0.598,0.993,0.993
0.612,0.599,0.877,0.712,0.998,0.973,0.386,0.357,0.599,0.612,0.877,1.0,0.827,0.926,0.466,0.284,0.998,0.794,0.786,0.962,0.942,0.85,0.691,0.988,0.988
0.56,0.507,0.8,0.739,0.999,0.992,0.378,0.419,0.507,0.56,0.8,0.998,0.791,0.93,0.556,0.173,0.985,0.848,0.877,0.989,0.85,0.832,0.798,0.994,0.994
0.454,0.567,0.776,0.786,0.996,0.951,0.244,0.567,0.567,0.454,0.776,0.998,0.743,0.937,0.547,0.227,0.955,0.893,0.899,0.977,0.907,0.824,0.76,0.999,0.999
0.567,0.592,0.85,0.604,0.993,0.987,0.316,0.438,0.592,0.567,0.85,0.999,0.758,0.898,0.438,0.371,0.998,0.815,0.85,0.992,0.83,0.837,0.792,0.999,0.999
0.572,0.565,0.839,0.672,1.0,0.987,0.245,0.337,0.565,0.572,0.839,1.0,0.759,0.929,0.495,0.293,0.985,0.879,0.847,0.988,0.901,0.814,0.744,0.999,0.999
0.583,0.532,0.827,0.79,0.971,0.89,0.229,0.462,0.532,0.583,0.827,0.979,0.854,0.945,0.595,0.251,0.92,0.873,0.952,0.949,0.952,0.782,0.722,0.998,0.998
0.644,0.644,0.913,0.668,0.997,0.979,0.198,0.477,0.644,0.644,0.913,0.997,0.77,0.896,0.391,0.144,1.0,0.844,0.779,0.979,0.923,0.779,0.701,0.992,0.992
0.567,0.515,0.809,0.687,0.998,0.991,0.274,0.508,0.515,0.567,0.809,1.0,0.765,0.923,0.492,0.161,0.976,0.935,0.796,0.996,0.892,0.796,0.735,0.996,0.996
0.369,0.746,0.859,0.859,0.983,0.961,0.196,0.405,0.746,0.369,0.859,0.999,0.503,0.996,0.588,0.289,0.967,0.918,0.845,0.983,0.928,0.815,0.815,0.988,0.988
0.659,0.619,0.909,0.559,1.0,0.982,0.16,0.367,0.619,0.659,0.909,0.998,0.796,0.919,0.341,0.301,0.986,0.926,0.773,0.997,0.946,0.603,0.717,0.986,0.986
0.701,0.466,0.867,0.651,0.997,0.998,0.39,0.314,0.466,0.701,0.867,0.972,0.856,0.967,0.457,0.2,1.0,0.574,0.94,0.993,0.844,0.882,0.949,0.995,0.995
0.626,0.549,0.86,0.589,0.999,0.99,0.194,0.296,0.549,0.626,0.86,1.0,0.805,0.921,0.528,0.194,0.958,0.928,0.85,0.997,0.888,0.739,0.71,0.997,0.997
0.569,0.569,0.84,0.71,0.996,0.921,0.23,0.483,0.569,0.569,0.84,0.994,0.805,0.941,0.506,0.326,0.98,0.84,0.897,0.977,0.947,0.793,0.754,0.994,0.994
0.576,0.549,0.832,0.6,0.995,0.995,0.246,0.318,0.549,0.576,0.832,1.0,0.774,0.928,0.456,0.288,0.986,0.825,0.892,0.999,0.932,0.71,0.825,0.998,0.998
0.508,0.326,0.663,0.663,0.957,0.999,0.271,0.561,0.326,0.508,0.663,0.984,0.708,0.885,0.492,0.223,0.967,0.911,0.857,0.992,0.722,0.832,0.834,1.0,1.0
0.608,0.608,0.879,0.569,0.992,1.0,0.112,0.112,0.608,0.608,0.879,0.98,0.678,0.913,0.528,0.326,0.999,0.913,0.71,0.999,0.897,0.739,0.71,0.996,0.996
0.759,0.525,0.923,0.833,0.949,0.888,0.297,0.42,0.525,0.759,0.923,0.958,0.884,0.964,0.557,0.32,0.997,0.817,0.852,0.931,0.91,0.855,0.794,0.994,0.994
0.556,0.546,0.819,0.684,0.996,0.993,0.282,0.339,0.546,0.556,0.819,0.995,0.734,0.94,0.546,0.267,0.999,0.819,0.83,0.996,0.845,0.808,0.797,1.0,1.0
0.541,0.525,0.8,0.752,0.999,0.961,0.23,0.441,0.525,0.541,0.8,0.998,0.756,0.908,0.495,0.308,0.997,0.893,0.768,0.986,0.916,0.793,0.631,0.984,0.984
0.437,0.408,0.662,0.858,1.0,0.977,0.337,0.498,0.408,0.437,0.662,0.998,0.728,0.957,0.656,0.224,0.94,0.928,0.881,0.98,0.847,0.913,0.793,0.986,0.986
0.492,0.819,0.945,0.604,0.991,0.907,0.103,0.355,0.819,0.492,0.945,0.991,0.653,0.995,0.45,0.355,0.999,0.786,0.858,0.955,0.983,0.683,0.668,0.997,0.997
0.564,0.573,0.839,0.643,0.993,1.0,0.184,0.352,0.573,0.564,0.839,0.992,0.675,0.897,0.438,0.235,0.999,0.844,0.746,0.999,0.772,0.726,0.854,0.999,0.999
0.596,0.521,0.829,0.741,0.999,0.97,0.3,0.463,0.521,0.596,0.829,1.0,0.799,0.908,0.511,0.256,0.992,0.879,0.821,0.984,0.914,0.839,0.711,0.992,0.992
0.608,0.594,0.872,0.648,0.998,0.959,0.122,0.467,0.594,0.608,0.872,1.0,0.782,0.922,0.501,0.182,0.981,0.916,0.809,0.99,0.886,0.72,0.621,0.996,0.996
0.613,0.496,0.827,0.629,0.997,0.996,0.324,0.41,0.496,0.613,0.827,1.0,0.831,0.888,0.41,0.225,0.97,0.892,0.872,0.995,0.907,0.784,0.742,1.0,1.0
0.559,0.531,0.813,0.703,0.998,0.966,0.287,0.454,0.531,0.559,0.813,0.999,0.836,0.936,0.531,0.22,0.911,0.926,0.917,0.985,0.926,0.813,0.724,0.992,0.992
0.43,0.404,0.655,0.772,0.994,0.998,0.319,0.404,0.404,0.43,0.655,1.0,0.73,0.96,0.6,0.183,0.941,0.855,0.945,1.0,0.841,0.826,0.915,0.965,0.965
0.581,0.531,0.826,0.669,0.994,0.999,0.352,0.279,0.531,0.581,0.826,0.995,0.766,0.929,0.502,0.304,1.0,0.773,0.838,0.998,0.86,0.82,0.874,0.994,0.994
0.512,0.477,0.754,0.754,0.995,0.998,0.215,0.477,0.477,0.512,0.754,0.997,0.669,0.947,0.523,0.251,0.982,0.83,0.9,0.999,0.754,0.83,0.908,0.994,0.994
0.554,0.523,0.806,0.731,0.999,0.991,0.3,0.433,0.523,0.554,0.806,0.999,0.752,0.933,0.503,0.232,0.984,0.855,0.873,0.989,0.892,0.852,0.806,1.0,1.0
0.446,0.501,0.729,0.751,0.998,0.998,0.159,0.296,0.501,0.446,0.729,0.998,0.655,0.933,0.552,0.296,0.992,0.829,0.87,1.0,0.82,0.751,0.904,0.978,0.978
0.642,0.579,0.883,0.785,0.946,0.862,0.169,0.533,0.579,0.642,0.883,0.956,0.867,0.928,0.557,0.251,0.943,0.888,0.92,0.898,0.974,0.872,0.632,1.0,1.0
0.397,0.627,0.787,0.752,0.998,0.963,0.361,0.447,0.627,0.397,0.787,1.0,0.77,0.945,0.564,0.239,0.949,0.88,0.918,0.966,0.949,0.848,0.704,0.993,0.993
0.676,0.528,0.878,0.714,0.987,0.937,0.224,0.382,0.528,0.676,0.878,0.993,0.866,0.899,0.528,0.275,0.997,0.818,0.851,0.962,0.937,0.781,0.709,0.991,0.991
0.546,0.499,0.788,0.687,0.988,1.0,0.316,0.297,0.499,0.546,0.788,0.992,0.72,0.938,0.552,0.227,0.994,0.792,0.889,1.0,0.76,0.825,0.889,0.958,0.958
0.421,0.421,0.66,0.868,1.0,0.972,0.351,0.517,0.421,0.421,0.66,1.0,0.69,0.986,0.696,0.21,0.939,0.875,0.934,0.981,0.825,0.921,0.849,0.98,0.98
0.569,0.628,0.871,0.578,0.995,0.995,0.31,0.453,0.628,0.569,0.871,0.997,0.76,0.94,0.336,0.208,0.987,0.81,0.902,0.997,0.883,0.783,0.771,1.0,1.0
0.536,0.576,0.826,0.802,0.984,0.951,0.211,0.324,0.576,0.536,0.826,0.996,0.771,0.951,0.624,0.193,0.989,0.842,0.872,0.956,0.936,0.814,0.659,0.995,0.995
0.633,0.542,0.861,0.77,0.985,0.927,0.116,0.584,0.542,0.633,0.861,0.982,0.791,0.912,0.52,0.116,0.974,0.916,0.834,0.974,0.95,0.777,0.624,0.967,0.967
0.589,0.589,0.861,0.712,0.998,0.959,0.235,0.525,0.589,0.589,0.861,0.999,0.769,0.936,0.582,0.145,0.971,0.938,0.804,0.98,0.901,0.823,0.661,0.982,0.982
0.588,0.507,0.817,0.736,1.0,0.99,0.265,0.374,0.507,0.588,0.817,1.0,0.757,0.93,0.526,0.243,0.993,0.85,0.846,0.996,0.88,0.794,0.85,0.999,0.999
0.686,0.494,0.87,0.735,0.995,0.958,0.288,0.449,0.494,0.686,0.87,0.986,0.851,0.924,0.53,0.246,0.995,0.796,0.885,0.966,0.879,0.84,0.788,0.996,0.996
0.388,0.377,0.608,0.676,0.949,0.995,0.26,0.663,0.377,0.388,0.608,0.97,0.636,0.896,0.503,0.219,0.964,0.932,0.831,0.983,0.72,0.769,0.823,0.999,0.999
0.501,0.467,0.741,0.648,0.997,0.963,0.261,0.449,0.467,0.501,0.741,1.0,0.892,0.782,0.431,0.285,0.927,0.911,0.916,0.981,0.963,0.762,0.549,0.999,0.999
0.544,0.556,0.818,0.682,1.0,0.984,0.216,0.394,0.556,0.544,0.818,1.0,0.775,0.894,0.519,0.275,0.961,0.921,0.856,0.986,0.903,0.818,0.701,1.0,1.0
0.573,0.514,0.812,0.791,0.993,0.943,0.283,0.459,0.514,0.573,0.812,0.996,0.804,0.942,0.612,0.265,0.966,0.858,0.911,0.964,0.903,0.87,0.759,0.999,0.999
0.287,0.301,0.481,0.944,1.0,0.977,0.354,0.47,0.301,0.287,0.481,1.0,0.628,0.996,0.723,0.391,0.843,0.898,0.979,0.999,0.813,0.887,0.984,0.874,0.874
0.56,0.544,0.821,0.607,0.992,0.998,0.193,0.326,0.544,0.56,0.821,1.0,0.727,0.935,0.434,0.25,0.993,0.855,0.838,1.0,0.886,0.715,0.802,1.0,1.0
0.533,0.545,0.806,0.783,0.993,0.965,0.356,0.319,0.545,0.533,0.806,0.987,0.825,0.985,0.563,0.199,0.978,0.774,0.943,0.957,0.973,0.808,0.757,0.997,0.997
0.687,0.557,0.897,0.719,0.998,0.974,0.332,0.416,0.557,0.687,0.897,1.0,0.826,0.897,0.467,0.197,0.999,0.814,0.776,0.978,0.948,0.814,0.776,1.0,1.0
0.646,0.617,0.902,0.701,0.994,0.948,0.241,0.491,0.617,0.646,0.902,0.994,0.798,0.933,0.452,0.212,0.996,0.892,0.777,0.968,0.941,0.782,0.594,0.964,0.964
0.527,0.54,0.8,0.697,0.996,0.999,0.338,0.368,0.54,0.527,0.8,1.0,0.747,0.947,0.485,0.161,0.997,0.773,0.89,0.998,0.86,0.784,0.86,0.997,0.997
0.701,0.581,0.913,0.653,1.0,0.976,0.35,0.428,0.581,0.701,0.913,0.999,0.831,0.906,0.403,0.259,0.98,0.784,0.685,0.972,0.871,0.862,0.685,0.976,0.976
0.618,0.593,0.878,0.654,0.998,0.959,0.263,0.554,0.593,0.618,0.878,0.991,0.823,0.926,0.417,0.111,0.984,0.871,0.858,0.984,0.948,0.737,0.665,0.99,0.99
0.532,0.551,0.809,0.621,0.983,0.999,0.512,0.178,0.551,0.532,0.809,0.988,0.819,0.933,0.512,0.273,0.983,0.875,0.858,0.98,0.939,0.867,0.697,0.976,0.976
0.657,0.467,0.841,0.663,0.996,1.0,0.54,0.28,0.467,0.657,0.841,1.0,0.897,0.915,0.573,0.138,0.992,0.71,0.94,0.979,0.92,0.873,0.894,0.984,0.984
0.558,0.566,0.832,0.779,1.0,0.972,0.288,0.461,0.566,0.558,0.832,1.0,0.718,0.953,0.533,0.275,0.999,0.849,0.799,0.984,0.857,0.84,0.799,1.0,1.0
0.544,0.565,0.823,0.823,0.977,0.882,0.139,0.565,0.565,0.544,0.823,0.995,0.758,0.925,0.586,0.273,0.99,0.896,0.805,0.948,0.928,0.841,0.616,0.96,0.96
0.66,0.398,0.811,0.629,0.992,0.998,0.485,0.485,0.398,0.66,0.811,0.995,0.9,0.811,0.485,0.101,0.998,0.79,0.868,0.987,0.884,0.85,0.689,0.992,0.992
0.79,0.297,0.868,0.831,0.968,0.9,0.398,0.176,0.297,0.79,0.868,0.998,0.949,0.831,0.398,0.742,0.968,0.868,0.9,0.982,0.949,0.79,0.927,0.982,0.982
0.521,0.461,0.75,0.712,0.992,0.996,0.238,0.461,0.461,0.521,0.75,1.0,0.712,0.901,0.445,0.215,1.0,0.741,0.866,1.0,0.839,0.777,0.866,1.0,1.0
0.643,0.639,0.911,0.496,0.991,0.998,0.368,0.43,0.639,0.643,0.911,1.0,0.803,0.911,0.322,0.136,0.993,0.749,0.789,0.997,0.892,0.697,0.722,0.988,0.988
0.597,0.539,0.839,0.745,0.997,0.951,0.334,0.483,0.539,0.597,0.839,0.995,0.827,0.94,0.5,0.334,0.974,0.857,0.897,0.972,0.906,0.846,0.802,1.0,1.0
0.675,0.633,0.922,0.611,0.997,0.966,0.242,0.473,0.633,0.675,0.922,0.994,0.828,0.896,0.401,0.198,0.996,0.858,0.818,0.974,0.96,0.733,0.64,0.986,0.986
0.574,0.52,0.816,0.775,0.989,0.944,0.212,0.449,0.52,0.574,0.816,0.99,0.813,0.93,0.545,0.285,0.972,0.871,0.889,0.973,0.919,0.813,0.759,0.999,0.999
0.567,0.456,0.777,0.706,0.994,0.999,0.3,0.343,0.456,0.567,0.777,0.993,0.758,0.918,0.529,0.333,0.959,0.916,0.866,1.0,0.859,0.777,0.855,0.982,0.982
0.609,0.431,0.792,0.688,0.996,0.99,0.18,0.475,0.431,0.609,0.792,0.998,0.756,0.889,0.496,0.059,1.0,0.835,0.78,1.0,0.854,0.743,0.792,0.994,0.994
0.622,0.548,0.858,0.602,0.997,0.997,0.364,0.332,0.548,0.622,0.858,0.999,0.829,0.884,0.422,0.246,0.998,0.816,0.846,0.997,0.907,0.746,0.79,0.999,0.999
0.58,0.51,0.814,0.628,0.992,0.987,0.288,0.491,0.51,0.58,0.814,0.998,0.772,0.898,0.363,0.232,0.995,0.905,0.76,0.997,0.918,0.76,0.628,0.976,0.976
0.554,0.482,0.783,0.75,0.998,0.999,0.227,0.308,0.482,0.554,0.783,0.994,0.702,0.922,0.554,0.198,0.992,0.874,0.823,1.0,0.85,0.762,0.867,0.986,0.986
0.8,0.522,0.943,0.818,0.934,0.865,0.247,0.409,0.522,0.8,0.943,0.982,0.904,0.918,0.568,0.38,0.999,0.85,0.805,0.943,0.926,0.861,0.796,0.998,0.998
0.641,0.519,0.854,0.668,1.0,0.989,0.218,0.288,0.519,0.641,0.854,0.995,0.782,0.943,0.446,0.237,1.0,0.769,0.832,0.991,0.898,0.755,0.748,0.99,0.99
0.535,0.574,0.824,0.626,0.996,0.988,0.27,0.509,0.574,0.535,0.824,0.999,0.75,0.94,0.42,0.206,0.964,0.863,0.91,0.998,0.886,0.775,0.791,1.0,1.0
0.661,0.55,0.88,0.714,0.986,0.913,0.191,0.577,0.55,0.661,0.88,0.997,0.848,0.855,0.523,0.239,0.945,0.949,0.841,0.972,0.918,0.841,0.577,0.949,0.949
0.527,0.445,0.745,0.647,0.977,0.991,0.21,0.546,0.445,0.527,0.745,0.983,0.692,0.895,0.527,0.241,0.98,0.902,0.834,0.997,0.824,0.769,0.871,0.997,0.997
0.216,0.873,0.912,0.623,0.997,0.978,0.362,0.126,0.873,0.216,0.912,0.992,0.623,0.944,0.294,0.579,0.929,0.912,0.912,0.997,0.986,0.623,0.85,0.929,0.929
0.507,0.507,0.769,0.734,0.999,0.996,0.155,0.397,0.507,0.507,0.769,0.999,0.696,0.962,0.473,0.155,0.974,0.903,0.852,1.0,0.881,0.734,0.769,1.0,1.0
0.539,0.509,0.789,0.738,0.999,0.976,0.224,0.428,0.509,0.539,0.789,0.999,0.78,0.914,0.509,0.247,0.989,0.838,0.876,0.992,0.888,0.785,0.785,0.999,0.999
0.589,0.568,0.849,0.761,0.992,0.938,0.066,0.369,0.568,0.589,0.849,0.996,0.731,0.984,0.609,0.239,0.98,0.931,0.789,0.98,0.951,0.731,0.665,0.99,0.99
0.534,0.449,0.752,0.777,0.996,0.985,0.422,0.467,0.449,0.534,0.752,0.998,0.767,0.961,0.615,0.308,0.97,0.858,0.905,0.981,0.85,0.925,0.854,0.987,0.987
0.595,0.41,0.772,0.868,0.992,0.973,0.474,0.199,0.41,0.595,0.772,0.998,0.857,0.954,0.649,0.241,0.999,0.814,0.834,0.925,0.97,0.911,0.719,0.999,0.999
0.413,0.452,0.675,0.76,0.995,0.993,0.413,0.482,0.452,0.413,0.675,0.992,0.774,0.934,0.592,0.148,0.905,0.905,0.942,0.994,0.876,0.883,0.794,0.96,0.96
0.623,0.582,0.875,0.736,0.995,0.965,0.303,0.402,0.582,0.623,0.875,0.998,0.807,0.933,0.507,0.252,0.994,0.851,0.841,0.97,0.923,0.832,0.719,0.998,0.998
0.589,0.625,0.879,0.785,0.965,0.907,0.168,0.489,0.625,0.589,0.879,0.965,0.803,0.967,0.531,0.168,0.977,0.87,0.879,0.944,0.969,0.797,0.65,0.985,0.985
0.766,0.391,0.882,0.907,0.936,0.873,0.209,0.404,0.391,0.766,0.882,0.968,0.858,0.966,0.619,0.364,0.997,0.853,0.816,0.953,0.863,0.873,0.853,0.997,0.997
0.536,0.442,0.749,0.761,0.998,0.981,0.282,0.527,0.442,0.536,0.749,1.0,0.743,0.927,0.527,0.227,0.985,0.861,0.865,1.0,0.836,0.812,0.798,0.996,0.996
0.558,0.66,0.883,0.785,0.98,0.896,0.263,0.597,0.66,0.558,0.883,0.998,0.766,0.934,0.493,0.229,0.985,0.912,0.804,0.952,0.963,0.81,0.537,0.967,0.967
0.382,0.229,0.504,0.816,0.992,0.998,0.279,0.263,0.229,0.382,0.504,1.0,0.731,0.967,0.701,0.088,0.943,0.785,0.974,1.0,0.766,0.883,0.974,0.869,0.869
0.576,0.569,0.843,0.714,0.999,0.971,0.266,0.469,0.569,0.576,0.843,0.999,0.777,0.935,0.509,0.187,0.991,0.853,0.851,0.985,0.92,0.779,0.74,0.999,0.999
0.55,0.498,0.79,0.771,0.999,0.985,0.295,0.498,0.498,0.55,0.79,1.0,0.724,0.949,0.555,0.24,0.969,0.877,0.89,0.996,0.819,0.835,0.835,0.999,0.999
