ATC_C,ATC_H,ATC_N,ATC_O,ATC_S
26.25,13.63,52.93,7.04,0.15
26.4,13.43,53.1,6.83,0.24
26.64,12.97,53.01,7.19,0.19
26.88,13.47,52.26,7.3,0.09
26.28,12.76,53.03,7.63,0.3
26.63,12.88,52.9,7.45,0.14
25.62,14.3,52.25,7.64,0.19
26.53,12.85,53.06,7.14,0.42
26.45,13.56,52.9,6.97,0.12
26.94,12.93,52.18,7.79,0.15
27.18,12.85,52.09,7.6,0.28
26.21,13.43,52.84,7.39,0.13
26.49,13.37,52.53,7.26,0.35
27.25,13.3,52.12,7.12,0.21
26.82,13.03,52.6,7.34,0.21
27.04,13.43,52.14,7.23,0.17
26.39,13.22,52.81,7.43,0.15
26.71,13.58,52.3,6.99,0.42
26.94,13.34,52.67,6.96,0.09
26.22,13.6,52.99,7.04,0.14
26.04,13.91,52.47,7.34,0.25
26.47,13.16,52.61,7.36,0.39
26.26,13.13,53.04,7.35,0.23
26.43,13.17,52.68,7.56,0.15
27.24,13.32,52.37,7.01,0.05
26.05,13.5,53.18,7.06,0.2
26.85,13.22,52.94,6.71,0.28
26.7,13.1,52.52,7.51,0.17
26.61,13.22,52.79,7.24,0.14
26.76,13.63,53.02,6.54,0.05
27.0,13.27,52.25,7.22,0.25
25.96,13.83,52.25,7.76,0.19
26.71,13.16,52.48,7.32,0.33
26.32,12.82,53.09,7.44,0.32
27.47,13.34,51.91,7.13,0.15
26.65,13.11,52.58,7.43,0.23
26.77,13.83,52.48,6.76,0.16
26.7,13.53,52.38,7.22,0.17
27.34,13.09,52.51,6.86,0.19
26.53,13.14,53.06,7.09,0.17
27.16,12.81,52.5,7.43,0.11
26.16,13.11,52.69,7.76,0.27
26.77,13.37,52.43,7.36,0.07
26.93,13.18,52.39,7.27,0.23
26.84,13.33,52.48,7.19,0.16
25.83,13.94,52.5,7.58,0.15
26.46,13.69,52.84,6.9,0.11
26.39,13.54,52.84,7.05,0.19
26.62,13.59,52.7,6.93,0.16
25.97,12.67,53.47,7.66,0.23
26.53,13.06,52.81,7.3,0.28
26.95,13.11,52.6,6.96,0.37
26.26,12.91,53.23,7.46,0.14
26.28,13.64,52.43,7.43,0.21
26.93,13.8,51.98,7.14,0.15
25.96,14.74,52.26,6.37,0.67
26.18,13.1,53.05,7.28,0.4
27.0,12.65,53.19,7.0,0.16
26.14,13.36,52.96,7.37,0.17
26.31,14.06,52.28,7.2,0.15
26.77,13.17,52.47,7.49,0.11
26.72,13.08,52.62,7.5,0.08
25.79,12.27,53.4,8.4,0.15
26.83,12.92,52.7,7.37,0.2
26.62,13.14,52.71,7.3,0.24
26.14,12.94,53.11,7.44,0.36
26.41,13.48,52.99,7.06,0.07
26.65,13.28,52.5,7.38,0.2
26.83,12.95,52.95,7.06,0.21
26.48,13.5,52.58,7.14,0.31
26.39,13.58,52.58,7.24,0.2
25.99,13.53,53.32,6.9,0.26
26.48,13.56,52.51,7.19,0.26
26.96,13.16,52.64,7.05,0.19
26.27,13.0,53.07,7.51,0.14
26.55,13.44,52.66,7.16,0.18
26.2,13.63,52.81,7.18,0.18
27.01,12.87,52.95,7.0,0.17
26.38,13.51,52.75,7.23,0.13
26.63,13.56,52.3,7.38,0.12
26.82,12.94,53.19,6.94,0.11
26.7,13.23,52.85,7.01,0.22
26.45,12.14,53.74,7.61,0.05
26.21,13.55,53.63,6.52,0.1
27.02,12.37,53.34,7.06,0.2
25.78,13.22,53.32,7.58,0.11
26.75,12.98,52.8,7.24,0.22
26.84,13.61,51.84,7.49,0.22
26.28,13.77,52.64,7.24,0.07
26.72,13.26,52.49,7.25,0.27
27.42,13.37,52.16,6.9,0.16
26.44,13.02,52.97,7.39,0.18
26.45,13.24,52.59,7.35,0.36
26.13,13.15,53.12,7.43,0.16
26.23,13.25,53.34,6.98,0.21
26.59,13.36,52.15,7.6,0.3
26.14,13.64,52.92,7.03,0.27
26.88,12.95,52.7,7.28,0.19
27.08,13.7,52.06,7.01,0.15
25.75,14.3,52.29,7.59,0.07
27.18,12.75,52.6,7.33,0.14
26.37,13.94,52.13,7.37,0.19
25.77,13.11,53.36,7.52,0.24
26.49,12.81,53.16,7.46,0.08
27.01,14.17,51.59,7.17,0.08
27.23,13.43,51.43,7.7,0.2
26.73,12.87,52.76,7.45,0.19
26.17,13.43,52.77,7.39,0.23
26.35,13.73,52.56,7.06,0.3
27.32,13.35,52.09,7.12,0.13
26.47,13.36,52.85,7.08,0.24
26.28,12.85,52.75,7.97,0.16
26.58,13.16,52.87,7.2,0.19
25.46,12.38,53.87,8.24,0.04
26.72,13.31,52.82,7.1,0.05
26.79,13.2,52.82,7.0,0.19
26.32,13.29,52.58,7.54,0.27
26.71,12.93,53.36,6.82,0.18
26.67,13.0,53.18,6.94,0.21
26.23,13.44,52.59,7.5,0.25
26.73,13.33,52.32,7.43,0.19
27.16,13.75,52.21,6.65,0.23
26.53,13.27,52.94,7.05,0.21
25.12,13.34,54.64,6.64,0.27
25.77,13.31,51.96,8.82,0.14
26.37,13.77,52.34,7.11,0.42
27.23,12.79,52.22,7.49,0.27
26.72,12.93,52.9,7.2,0.25
26.4,12.99,52.85,7.61,0.16
26.13,13.36,52.64,7.65,0.24
25.88,13.12,53.21,7.66,0.13
26.11,13.33,53.38,7.03,0.15
27.05,12.01,54.22,6.56,0.17
27.0,13.55,51.97,7.28,0.21
26.87,13.75,52.06,7.21,0.12
26.79,13.07,52.75,7.2,0.19
26.41,13.5,52.75,7.2,0.14
26.45,12.85,52.97,7.56,0.17
27.08,12.84,52.65,7.28,0.14
26.86,13.48,52.34,7.18,0.13
26.74,13.54,52.53,6.91,0.28
27.22,12.87,52.8,6.88,0.22
26.71,13.01,53.13,6.98,0.17
26.21,13.64,51.81,8.11,0.23
26.3,13.03,52.85,7.59,0.22
25.75,13.05,53.49,7.43,0.28
27.42,12.64,52.8,6.83,0.3
25.93,11.73,53.35,8.91,0.09
25.51,12.43,54.02,7.78,0.26
27.55,12.96,52.71,6.55,0.23
27.07,13.16,52.41,7.15,0.21
26.52,13.42,53.07,6.82,0.17
26.88,13.15,52.7,7.06,0.21
27.42,13.04,51.96,7.44,0.14
26.05,13.16,52.71,7.87,0.22
26.48,13.17,53.12,7.16,0.07
26.91,13.07,52.36,7.46,0.2
27.23,13.44,51.89,7.17,0.27
26.33,13.63,52.23,7.58,0.23
26.83,12.6,53.3,7.13,0.14
26.6,12.38,53.49,7.49,0.04
26.99,13.28,52.49,7.04,0.2
26.71,13.56,51.47,8.14,0.13
27.29,13.0,52.85,6.68,0.19
26.56,13.77,52.05,7.44,0.19
26.53,13.38,52.83,6.96,0.3
25.89,13.32,53.33,7.19,0.27
26.89,13.28,52.41,7.18,0.23
26.01,13.28,53.41,7.2,0.09
26.59,13.26,52.71,7.26,0.17
26.73,12.87,52.93,7.27,0.2
26.45,13.23,53.1,7.07,0.15
26.16,12.55,53.1,7.92,0.27
26.91,12.97,52.4,7.52,0.19
26.34,14.2,52.35,6.98,0.13
26.73,12.96,52.0,8.07,0.23
26.49,13.36,53.11,6.86,0.18
26.14,13.58,52.7,7.36,0.23
27.19,12.78,52.19,7.68,0.16
26.59,12.29,53.69,7.28,0.15
27.05,12.98,52.53,7.24,0.2
26.72,12.91,52.72,7.46,0.19
26.03,13.23,53.08,7.37,0.3
27.13,13.19,52.62,6.97,0.09
25.98,12.86,53.2,7.76,0.21
26.97,12.96,52.46,7.38,0.23
26.95,13.03,52.49,7.32,0.2
26.48,12.97,53.47,6.76,0.32
26.45,13.14,52.62,7.55,0.24
27.51,12.99,52.28,7.0,0.22
26.56,13.31,52.52,7.42,0.18
26.9,12.89,52.55,7.47,0.19
27.39,12.47,53.62,6.45,0.08
26.79,12.88,53.17,7.01,0.15
26.92,13.24,52.44,7.24,0.16
26.04,12.07,53.42,8.31,0.17
26.29,13.23,53.31,6.95,0.21
26.52,13.47,53.06,6.8,0.15
26.75,13.01,52.53,7.61,0.09
26.22,13.51,52.56,7.53,0.18
26.5,13.76,52.32,7.18,0.24
26.65,13.73,52.52,6.87,0.23
26.23,14.06,52.41,7.11,0.19
26.28,13.22,53.4,7.05,0.05
26.49,13.16,52.86,7.22,0.27
25.79,13.16,52.58,8.07,0.4
26.67,13.36,52.42,7.31,0.25
26.97,13.06,52.73,7.06,0.18
27.24,13.93,51.71,7.0,0.12
27.12,14.29,52.01,6.46,0.12
26.48,13.48,52.49,7.47,0.08
26.55,13.72,52.01,7.51,0.2
26.48,14.06,52.27,6.93,0.25
26.98,13.04,52.9,6.92,0.15
26.04,13.46,53.02,7.31,0.16
26.82,13.14,52.44,7.5,0.1
26.43,13.74,51.77,7.51,0.55
26.22,13.32,53.27,7.04,0.14
26.14,13.29,52.96,7.35,0.25
25.85,13.44,53.06,7.42,0.23
25.72,14.25,52.75,7.19,0.09
26.45,12.8,52.48,7.99,0.28
27.0,13.33,52.51,6.99,0.18
26.43,13.73,52.43,7.2,0.21
26.36,13.0,52.93,7.3,0.41
27.31,13.28,52.19,6.93,0.3
26.14,13.48,52.99,7.13,0.26
26.66,14.23,52.37,6.71,0.03
26.33,12.97,53.49,7.13,0.09
27.43,12.94,51.98,7.33,0.32
26.01,12.53,53.53,7.82,0.11
28.19,12.33,52.4,6.75,0.33
26.27,13.4,52.83,7.38,0.12
26.9,12.82,53.08,7.08,0.11
27.24,13.45,52.05,7.06,0.19
26.56,14.31,51.5,6.89,0.73
26.59,13.41,52.55,7.24,0.21
26.56,13.12,52.97,7.22,0.14
25.87,13.37,53.04,7.63,0.09
26.34,12.54,53.15,7.82,0.15
26.53,13.6,52.23,7.49,0.15
26.62,12.92,53.4,6.96,0.09
26.35,13.38,52.81,7.24,0.22
25.72,13.49,53.18,7.48,0.13
26.46,12.69,53.94,6.69,0.22
26.14,13.39,53.04,7.26,0.17
27.67,12.81,52.36,6.93,0.24
26.65,13.21,52.41,7.42,0.3
26.19,13.19,52.9,7.39,0.33
27.6,12.82,52.55,6.89,0.15
25.89,13.82,52.53,7.66,0.1
27.04,12.96,52.31,7.56,0.12
26.87,13.41,52.7,6.88,0.14
26.68,13.35,52.5,7.35,0.12
26.36,13.61,52.2,7.6,0.24
26.57,13.26,52.96,7.07,0.13
26.82,13.39,52.35,7.23,0.21
26.09,13.54,52.61,7.56,0.19
26.03,13.05,53.28,7.24,0.41
26.6,13.44,52.6,7.19,0.18
26.56,13.79,52.14,7.19,0.32
26.11,13.81,52.79,7.09,0.2
25.5,13.42,53.18,7.78,0.11
26.56,13.36,53.46,6.6,0.02
27.32,13.34,52.12,7.09,0.13
26.06,13.32,52.8,7.6,0.22
26.57,13.26,52.71,7.19,0.27
25.95,13.31,53.35,7.35,0.04
26.84,13.19,52.62,7.23,0.13
26.0,13.38,52.23,7.71,0.68
26.51,13.31,52.75,7.25,0.17
26.57,13.01,52.74,7.49,0.19
26.93,13.59,52.1,7.08,0.29
27.14,13.02,52.21,7.45,0.18
26.62,12.88,53.27,7.04,0.19
26.54,13.67,51.93,7.32,0.54
26.49,12.57,53.23,7.45,0.26
26.21,13.35,52.74,7.45,0.25
26.67,13.02,52.82,7.21,0.28
25.91,13.57,52.96,7.25,0.31
26.65,13.32,52.25,7.51,0.26
27.55,13.19,51.78,7.23,0.25
26.7,13.35,52.57,7.16,0.22
26.7,13.56,52.02,7.27,0.45
26.3,13.28,53.01,7.18,0.23
26.33,13.38,53.04,6.95,0.29
26.45,13.28,52.81,7.29,0.17
26.75,12.95,52.94,7.18,0.18
26.66,13.37,52.45,7.32,0.2
26.43,13.93,52.58,6.74,0.31
26.93,12.56,53.1,7.15,0.26
25.33,14.44,52.04,7.96,0.24
25.73,13.07,53.36,7.77,0.07
26.42,13.61,53.23,6.66,0.08
25.83,13.79,52.36,7.77,0.25
26.76,13.04,52.3,7.69,0.22
26.13,13.36,52.96,7.37,0.18
26.54,13.89,51.64,7.78,0.16
26.8,12.78,53.25,7.12,0.05
26.52,13.47,53.1,6.77,0.14
26.68,12.93,52.83,7.46,0.09
25.85,13.05,53.12,7.88,0.1
26.69,13.4,52.74,7.01,0.16
26.66,12.93,53.12,7.2,0.1
26.4,13.34,52.82,7.18,0.25
26.62,13.18,52.72,7.24,0.24
26.8,13.34,52.24,7.35,0.27
26.34,13.4,52.71,7.38,0.17
26.47,12.88,53.26,7.18,0.21
26.81,13.0,53.03,7.0,0.15
25.9,13.43,52.8,7.76,0.11
26.5,13.21,52.58,7.28,0.43
26.75,13.35,52.35,7.04,0.51
26.5,13.43,52.5,7.48,0.09
26.34,13.18,52.71,7.52,0.25
26.6,13.25,52.73,7.18,0.23
26.64,13.37,52.77,6.98,0.25
26.6,13.59,52.66,6.96,0.18
26.06,13.37,52.51,7.71,0.36
26.46,13.43,52.69,7.3,0.13
26.44,13.38,52.64,7.38,0.16
27.11,13.26,52.58,6.91,0.13
27.12,13.52,51.95,7.31,0.1
25.9,13.2,53.16,7.59,0.15
26.65,13.09,52.54,7.42,0.3
26.77,13.27,52.4,7.27,0.29
26.1,12.84,53.45,7.44,0.17
26.39,13.4,52.34,7.72,0.15
26.56,13.62,52.72,6.91,0.19
26.44,13.49,52.89,6.94,0.23
26.92,13.45,52.27,7.19,0.17
26.34,13.55,52.69,7.29,0.13
25.98,13.33,53.18,7.27,0.24
26.52,12.12,53.58,7.62,0.16
26.27,13.69,52.95,6.92,0.17
26.17,13.7,52.46,7.5,0.17
26.46,13.67,52.71,7.07,0.08
27.18,12.86,52.54,7.25,0.17
26.64,13.32,53.09,6.87,0.09
27.25,12.86,52.77,6.94,0.18
26.97,13.57,52.07,7.15,0.26
26.61,12.79,52.89,7.6,0.12
25.97,13.05,53.02,7.64,0.32
27.04,12.94,53.12,6.75,0.15
25.62,14.2,51.87,8.09,0.23
26.8,12.94,52.69,7.33,0.23
26.76,13.09,52.98,7.09,0.09
27.05,13.67,51.96,6.96,0.36
27.12,13.77,52.64,6.47,0.0
26.65,12.81,53.31,7.14,0.09
26.19,12.84,53.26,7.5,0.22
26.3,13.28,52.92,7.32,0.17
26.47,13.02,53.14,7.06,0.3
26.79,13.55,52.11,7.41,0.13
26.7,12.96,53.2,6.97,0.17
27.55,13.06,51.95,7.29,0.16
27.25,12.92,52.53,7.28,0.02
27.1,13.1,52.7,7.0,0.11
26.96,13.78,52.27,6.92,0.07
27.56,11.84,54.03,6.4,0.17
26.3,13.03,53.4,7.09,0.18
26.96,13.15,52.52,7.08,0.29
26.75,13.09,53.13,6.83,0.21
27.49,13.25,51.84,7.2,0.22
26.48,13.24,53.28,6.9,0.1
26.26,13.72,52.75,7.02,0.25
26.66,13.38,52.71,7.01,0.25
27.17,13.16,52.51,7.08,0.08
26.83,12.73,53.21,7.14,0.09
26.37,13.53,52.36,7.57,0.17
26.92,13.2,52.12,7.5,0.26
25.86,13.01,53.05,7.81,0.27
26.64,12.92,53.06,7.23,0.15
26.27,13.62,52.17,7.71,0.23
26.64,13.23,52.86,7.08,0.19
27.24,13.19,52.2,7.23,0.14
26.42,13.48,52.89,6.92,0.29
25.91,12.68,53.53,7.78,0.1
26.3,13.28,53.34,6.92,0.16
26.28,12.8,53.31,7.44,0.16
26.91,13.45,52.54,6.98,0.13
26.44,13.36,52.84,7.23,0.13
26.62,13.16,52.52,7.5,0.21
26.96,13.57,52.22,7.1,0.15
26.41,13.63,52.92,6.92,0.13
26.92,13.01,52.56,7.3,0.22
27.16,13.1,52.53,7.06,0.14
27.22,13.74,51.76,7.12,0.16
26.85,13.06,52.9,7.04,0.16
26.89,13.19,52.54,7.1,0.27
26.58,13.63,52.51,6.99,0.28
27.08,13.2,52.62,6.92,0.19
26.71,13.55,52.07,7.44,0.24
25.49,14.03,52.63,7.62,0.23
27.13,12.37,53.3,7.09,0.1
26.21,12.41,53.54,7.7,0.15
26.36,13.08,53.24,7.13,0.18
26.56,12.92,53.41,6.74,0.36
26.41,13.35,53.25,6.95,0.04
26.17,13.44,52.79,7.37,0.22
27.22,12.55,53.71,6.34,0.18
26.81,13.08,52.64,7.22,0.25
25.67,13.43,53.84,6.86,0.19
28.53,12.26,52.22,6.84,0.16
26.7,13.31,52.48,7.34,0.17
26.72,13.33,52.54,7.3,0.1
26.45,13.0,53.07,7.28,0.2
26.84,13.13,52.76,7.02,0.25
26.79,13.33,52.88,6.7,0.3
26.87,13.27,52.24,7.39,0.23
26.11,13.72,52.82,7.12,0.22
26.07,13.11,53.19,7.56,0.07
25.24,15.06,52.0,6.72,0.98
27.26,12.97,52.45,7.14,0.19
26.53,13.28,52.72,7.33,0.14
26.76,13.63,52.85,6.68,0.07
26.65,13.09,52.67,7.36,0.23
25.91,13.22,53.24,7.54,0.09
26.41,13.89,52.22,7.41,0.05
26.19,13.77,52.74,7.17,0.13
27.68,13.42,51.66,7.01,0.22
26.23,12.76,52.86,7.99,0.17
27.05,13.34,52.15,7.24,0.22
27.07,13.03,52.35,7.41,0.13
26.85,13.08,52.71,7.15,0.22
26.77,13.45,52.01,7.58,0.2
26.5,13.36,53.0,7.07,0.07
26.78,13.14,53.14,6.76,0.18
26.38,13.29,52.81,7.22,0.29
26.98,13.29,52.21,7.42,0.1
26.91,12.75,52.99,7.13,0.22
27.02,13.09,52.34,7.29,0.27
26.24,13.31,52.99,7.28,0.18
27.1,13.0,52.13,7.5,0.28
26.17,14.14,52.06,7.19,0.45
26.46,13.24,53.06,7.04,0.2
26.55,13.39,52.38,7.46,0.22
26.7,13.64,52.26,7.31,0.1
26.63,13.33,52.75,7.03,0.26
26.04,13.33,52.8,7.68,0.14
25.98,14.5,52.37,6.97,0.18
26.3,13.38,52.92,7.23,0.17
26.5,14.0,51.99,7.21,0.29
25.87,13.71,52.55,7.57,0.3
26.82,13.5,52.55,6.87,0.26
26.59,13.37,52.86,7.02,0.17
27.27,12.06,52.27,7.52,0.87
27.05,13.24,52.33,7.19,0.19
26.63,13.26,52.96,6.93,0.23
26.55,13.83,52.46,6.7,0.45
26.31,13.2,52.97,7.31,0.21
25.86,13.53,52.99,7.42,0.2
26.09,13.68,52.6,7.37,0.26
26.58,13.52,52.47,7.21,0.22
27.04,12.55,52.97,7.35,0.1
26.38,13.17,52.78,7.48,0.18
26.96,13.38,52.35,7.17,0.13
25.89,12.33,53.3,8.45,0.03
26.09,13.89,52.07,7.69,0.27
26.82,13.31,52.57,6.96,0.34
26.17,13.46,52.52,7.59,0.27
26.97,13.01,52.74,7.14,0.14
27.31,13.12,52.55,6.89,0.13
26.02,13.52,52.43,7.39,0.63
26.48,13.17,52.48,7.65,0.23
26.35,13.7,52.74,7.03,0.18
26.79,13.22,52.5,7.25,0.25
26.37,13.76,52.22,7.33,0.31
26.57,13.26,52.3,7.48,0.39
26.38,13.6,52.66,7.13,0.24
26.63,13.28,52.44,7.45,0.2
26.17,13.08,53.1,7.49,0.16
27.11,13.55,51.93,7.32,0.1
26.14,13.25,52.93,7.44,0.24
27.07,13.15,52.37,7.15,0.27
26.75,13.47,52.28,7.16,0.33
26.98,13.39,52.23,7.18,0.22
26.35,13.54,52.51,7.42,0.18
26.32,13.26,52.59,7.61,0.23
26.62,13.33,52.53,7.39,0.13
26.91,13.03,52.78,7.21,0.07
27.1,12.63,53.49,6.54,0.24
26.83,13.4,52.31,7.25,0.2
26.61,12.51,53.32,7.36,0.21
26.38,13.96,52.22,7.33,0.1
25.89,13.58,52.83,7.45,0.25
27.44,12.94,52.08,7.36,0.18
26.96,13.2,52.62,7.05,0.18
26.44,13.57,52.55,7.24,0.21
26.4,13.46,53.38,6.73,0.03
26.57,13.27,52.85,7.05,0.25
26.15,13.6,52.68,7.37,0.21
26.01,13.71,52.73,7.4,0.15
26.29,13.59,52.45,7.49,0.18
26.55,13.23,52.98,7.12,0.13
26.7,13.06,52.72,7.31,0.21
26.05,13.58,52.69,7.52,0.15
26.28,13.17,53.36,7.07,0.11
26.36,13.87,52.22,7.37,0.18
26.29,13.05,52.57,7.84,0.25
27.04,13.07,52.78,6.83,0.27
25.96,13.51,52.58,7.67,0.28
26.13,12.91,54.08,6.78,0.1
27.44,12.9,52.42,7.0,0.24
26.59,13.37,52.6,7.19,0.26
26.47,13.68,52.88,6.82,0.15
26.56,13.42,52.92,6.92,0.19
26.68,13.34,52.47,7.24,0.27
26.88,13.26,52.77,6.92,0.17
26.31,13.47,52.49,7.56,0.17
27.79,12.94,51.8,7.2,0.27
26.72,12.83,52.74,7.5,0.2
26.04,13.48,53.17,7.12,0.2
26.94,13.09,52.6,7.22,0.16
25.43,13.78,53.25,7.33,0.21
26.25,13.43,52.07,7.75,0.49
25.92,13.71,52.54,7.56,0.26
27.15,13.02,52.37,7.26,0.2
26.49,13.36,52.31,7.13,0.72
26.26,13.38,53.0,7.2,0.16
27.16,13.21,52.08,7.38,0.17
26.72,13.12,52.67,7.31,0.18
26.8,12.97,53.23,6.87,0.12
26.49,13.36,52.38,7.36,0.4
27.2,13.03,52.79,6.78,0.21
26.71,13.09,53.13,6.82,0.26
27.02,12.95,52.84,7.0,0.2
26.33,13.71,52.44,7.28,0.25
27.15,12.95,53.05,6.75,0.1
27.38,13.33,51.97,7.17,0.15
27.24,12.97,52.67,6.94,0.17
26.1,13.35,52.87,7.35,0.33
25.99,13.39,53.37,7.14,0.12
26.63,13.2,52.75,7.27,0.16
26.81,13.34,52.35,7.41,0.09
26.23,13.12,53.14,7.25,0.26
26.44,13.9,52.22,7.29,0.16
27.11,13.53,51.65,7.5,0.22
26.76,13.3,52.57,7.28,0.08
26.03,13.39,53.07,7.15,0.36
26.23,13.2,52.6,7.57,0.4
26.77,12.84,53.32,7.04,0.03
26.13,13.31,52.64,7.7,0.22
26.86,13.67,52.15,7.26,0.07
26.24,13.36,52.74,7.44,0.21
26.61,12.56,52.63,7.34,0.87
26.19,13.82,52.14,7.15,0.7
27.07,12.74,53.33,6.7,0.15
27.2,12.73,52.47,7.45,0.14
25.91,13.37,53.29,7.11,0.32
27.54,13.24,51.68,7.42,0.12
26.75,13.14,52.66,7.18,0.27
27.04,13.48,52.06,7.29,0.13
26.79,13.76,52.22,7.11,0.12
27.13,13.38,52.36,6.86,0.27
25.94,13.05,53.3,7.4,0.31
26.44,13.36,52.88,7.01,0.3
26.49,12.97,52.87,7.37,0.3
26.22,13.99,52.57,7.1,0.12
26.07,13.58,52.76,7.43,0.16
26.68,12.88,52.82,7.42,0.2
26.42,12.97,53.07,7.44,0.1
26.64,13.33,52.37,7.52,0.15
27.17,12.88,52.24,7.49,0.23
26.5,13.63,52.75,7.03,0.09
26.6,13.66,52.61,6.93,0.2
26.33,12.28,53.5,7.72,0.17
27.38,13.21,52.1,7.16,0.16
26.06,13.77,52.49,7.41,0.27
27.56,12.88,52.07,7.35,0.14
27.05,13.04,52.52,7.18,0.2
27.06,13.4,52.1,7.31,0.13
26.5,13.57,52.51,7.16,0.26
27.04,12.6,53.24,6.76,0.36
26.57,13.74,52.24,7.18,0.27
27.26,12.74,53.06,6.68,0.25
26.43,13.21,52.53,7.7,0.13
26.39,13.04,52.93,7.39,0.26
26.91,13.22,52.83,6.92,0.12
26.62,13.42,52.31,7.4,0.24
26.16,13.77,52.69,7.16,0.22
26.02,13.28,52.99,7.54,0.17
25.79,13.77,53.13,7.21,0.1
27.22,13.39,51.64,7.42,0.34
26.6,13.26,52.73,7.28,0.13
26.06,13.48,52.99,7.28,0.19
25.66,13.41,52.44,7.92,0.56
25.94,13.93,52.9,7.08,0.15
25.64,13.31,52.26,8.51,0.27
27.09,13.17,52.05,7.53,0.15
26.88,13.42,53.12,6.54,0.03
26.22,13.74,52.82,6.83,0.38
25.8,13.6,53.12,7.13,0.35
27.74,12.45,52.58,6.95,0.28
26.4,13.32,52.71,7.34,0.24
26.05,12.98,53.34,7.51,0.12
25.45,12.39,54.0,8.12,0.04
25.78,12.5,53.32,8.13,0.27
27.68,13.23,51.74,7.0,0.35
26.49,13.11,52.86,7.27,0.27
25.76,12.08,53.94,8.11,0.11
26.04,13.0,53.31,7.48,0.17
25.56,12.92,53.27,8.13,0.12
26.55,13.66,52.46,7.1,0.22
26.52,13.38,52.69,7.17,0.24
26.16,13.91,52.42,7.33,0.18
26.41,13.08,53.39,6.96,0.17
26.84,13.03,52.54,7.29,0.3
26.91,13.6,51.9,7.5,0.09
26.98,13.62,52.45,6.82,0.12
26.04,13.57,52.82,7.43,0.13
26.57,13.02,53.44,6.89,0.08
26.75,13.78,52.42,6.85,0.19
26.33,12.55,53.85,7.05,0.22
26.86,13.28,52.91,6.82,0.13
26.09,13.16,53.03,7.56,0.16
26.76,12.55,53.4,7.07,0.23
26.8,12.95,53.29,6.77,0.18
27.81,12.76,52.33,6.87,0.23
26.51,12.81,53.56,6.95,0.17
26.47,13.66,52.73,7.07,0.06
26.96,12.89,52.12,7.89,0.14
26.96,13.06,52.39,7.32,0.27
26.07,13.17,53.18,7.46,0.13
26.45,12.73,53.22,7.4,0.2
26.78,13.05,52.6,7.37,0.2
26.84,12.77,52.72,7.41,0.26
25.77,13.69,53.32,7.06,0.15
26.63,13.77,52.57,6.84,0.19
26.35,13.16,53.12,7.17,0.2
27.27,12.87,52.72,6.98,0.16
26.02,12.37,53.1,8.21,0.31
28.22,12.93,51.92,6.82,0.1
26.84,12.86,52.85,7.23,0.22
25.73,13.54,52.9,7.68,0.16
26.05,13.35,52.78,7.69,0.13
26.51,12.43,53.39,7.5,0.17
26.87,13.11,52.72,7.09,0.21
26.73,12.63,53.63,6.82,0.19
25.99,13.53,53.0,7.31,0.17
25.22,12.13,54.86,7.73,0.05
25.34,14.21,53.37,7.05,0.04
26.66,13.38,52.72,7.2,0.04
26.48,13.21,53.33,6.67,0.31
26.75,13.31,52.24,7.51,0.18
26.29,13.5,52.41,7.58,0.23
25.78,13.6,52.68,7.82,0.12
26.82,13.23,52.42,7.44,0.1
26.94,13.52,52.41,6.96,0.17
26.86,13.75,52.11,7.13,0.14
26.06,13.35,53.2,7.24,0.14
27.18,12.83,52.75,7.07,0.17
26.16,13.41,52.76,7.44,0.23
27.07,13.13,52.33,7.23,0.23
26.51,12.85,52.87,7.55,0.22
25.97,13.49,53.27,7.14,0.13
26.4,13.53,53.21,6.78,0.09
27.19,13.52,51.98,7.12,0.19
26.56,13.13,52.76,7.41,0.14
26.36,13.35,52.5,7.49,0.3
25.88,14.38,52.24,7.09,0.41
26.63,13.7,52.33,7.14,0.2
26.37,13.3,53.08,7.09,0.17
25.34,13.64,52.91,7.28,0.83
26.07,12.26,53.39,8.13,0.15
26.21,13.96,52.54,7.07,0.22
26.05,13.25,53.24,7.25,0.22
26.11,13.58,52.68,7.37,0.27
26.1,13.27,53.03,7.42,0.18
27.24,13.33,52.56,6.71,0.16
26.38,13.29,52.37,7.65,0.31
26.76,12.81,53.01,7.29,0.14
26.14,13.53,52.95,7.27,0.11
26.06,14.0,51.98,7.74,0.22
26.98,13.25,52.27,7.2,0.3
25.7,13.57,53.09,7.38,0.26
26.56,13.07,52.62,7.62,0.13
27.22,12.93,52.87,6.89,0.1
26.18,13.69,52.61,7.26,0.26
27.02,13.04,52.41,7.32,0.2
26.63,13.08,52.62,7.42,0.25
26.82,12.28,53.0,7.64,0.25
27.17,13.08,52.66,6.93,0.15
26.9,13.57,52.2,7.09,0.25
25.85,14.32,52.08,7.53,0.22
25.85,13.3,53.33,7.31,0.21
26.46,13.53,52.51,7.26,0.24
26.67,12.95,52.93,7.27,0.17
25.86,13.24,52.96,7.73,0.21
26.67,13.06,52.83,7.23,0.21
25.95,13.43,52.87,7.58,0.18
26.51,13.75,52.03,7.55,0.15
26.56,13.0,52.82,7.48,0.14
26.76,13.27,52.35,7.34,0.28
26.37,13.36,52.61,7.46,0.2
26.51,13.29,52.54,7.49,0.19
26.58,13.78,52.2,7.31,0.14
27.11,13.01,52.45,7.19,0.23
