PCP_PC,PCP_NC,PCP_NE,PCP_PO,PCP_NP,PCP_AL,PCP_CY,PCP_AR,PCP_AC,PCP_BS,PCP_NE_pH,PCP_HB,PCP_HL,PCP_NT,PCP_HX,PCP_SC,PCP_SS_HE,PCP_SS_ST,PCP_SS_CO,PCP_SA_BU,PCP_SA_EX,PCP_SA_IN,PCP_TN,PCP_SM,PCP_LR,PCP_Z1,PCP_Z2,PCP_Z3,PCP_Z4,PCP_Z5
0.122,0.139,0.739,0.159,0.569,0.519,0.054,0.058,0.139,0.122,0.739,0.505,0.186,0.383,0.102,0.027,0.515,0.214,0.271,0.495,0.264,0.217,0.275,0.505,0.495,0.09,-0.84,-0.432,-0.532,0.234
0.16,0.11,0.73,0.258,0.435,0.376,0.068,0.073,0.11,0.16,0.73,0.5,0.266,0.331,0.134,0.061,0.474,0.272,0.255,0.402,0.343,0.276,0.245,0.5,0.5,0.262,-0.383,-0.161,-0.32,0.124
0.133,0.14,0.728,0.219,0.479,0.393,0.044,0.084,0.14,0.133,0.728,0.498,0.207,0.384,0.135,0.042,0.447,0.284,0.27,0.416,0.293,0.274,0.228,0.498,0.502,0.229,-0.442,-0.237,-0.398,0.136
0.155,0.188,0.657,0.164,0.469,0.385,0.052,0.085,0.188,0.155,0.657,0.488,0.23,0.371,0.103,0.033,0.474,0.263,0.263,0.394,0.376,0.221,0.131,0.394,0.606,0.031,-0.256,-0.437,-0.529,0.191
0.103,0.082,0.815,0.274,0.486,0.288,0.021,0.192,0.082,0.103,0.815,0.507,0.178,0.329,0.137,0.089,0.397,0.336,0.267,0.473,0.253,0.26,0.308,0.493,0.507,-0.028,-0.106,0.194,-0.129,-0.154
0.189,0.181,0.63,0.236,0.333,0.289,0.009,0.049,0.181,0.189,0.63,0.399,0.259,0.397,0.16,0.03,0.523,0.224,0.253,0.331,0.41,0.214,0.187,0.419,0.581,0.677,-0.205,-0.46,-0.636,0.114
0.208,0.108,0.683,0.167,0.475,0.442,0.008,0.05,0.108,0.208,0.683,0.467,0.258,0.325,0.133,0.008,0.5,0.242,0.258,0.458,0.258,0.2,0.292,0.558,0.442,0.589,-0.656,-0.535,-0.335,0.213
0.093,0.096,0.81,0.204,0.551,0.446,0.05,0.128,0.096,0.093,0.81,0.554,0.198,0.306,0.114,0.026,0.364,0.353,0.283,0.499,0.262,0.227,0.198,0.475,0.525,-0.422,-0.359,-0.275,-0.417,0.085
0.083,0.12,0.797,0.224,0.553,0.486,0.102,0.085,0.12,0.083,0.797,0.551,0.205,0.366,0.15,0.033,0.409,0.246,0.344,0.465,0.283,0.309,0.285,0.567,0.433,-0.119,-0.602,0.011,-0.442,0.281
0.122,0.102,0.776,0.243,0.488,0.399,0.046,0.104,0.102,0.122,0.776,0.483,0.213,0.357,0.142,0.037,0.415,0.29,0.296,0.423,0.282,0.283,0.237,0.489,0.511,0.028,-0.393,-0.253,-0.393,0.114
0.163,0.131,0.706,0.237,0.426,0.353,0.032,0.087,0.131,0.163,0.706,0.451,0.237,0.364,0.144,0.043,0.426,0.285,0.29,0.405,0.348,0.241,0.223,0.472,0.528,0.255,-0.36,-0.282,-0.449,0.092
0.134,0.16,0.706,0.16,0.471,0.37,0.025,0.101,0.16,0.134,0.706,0.462,0.235,0.353,0.118,0.034,0.378,0.319,0.303,0.412,0.336,0.227,0.176,0.504,0.496,0.219,-0.363,-0.294,-0.542,-0.021
0.081,0.108,0.81,0.248,0.5,0.423,0.021,0.108,0.108,0.081,0.81,0.456,0.165,0.442,0.169,0.008,0.331,0.292,0.377,0.471,0.273,0.256,0.321,0.629,0.371,0.383,-0.762,-0.027,-0.617,0.096
0.132,0.122,0.746,0.161,0.583,0.513,0.023,0.06,0.122,0.132,0.746,0.541,0.158,0.355,0.096,0.039,0.49,0.264,0.246,0.552,0.212,0.181,0.321,0.552,0.448,0.157,-0.867,-0.333,-0.371,0.237
0.102,0.112,0.786,0.181,0.571,0.5,0.066,0.079,0.112,0.102,0.786,0.531,0.202,0.352,0.11,0.033,0.429,0.27,0.301,0.482,0.298,0.26,0.319,0.607,0.393,0.183,-0.853,-0.079,-0.449,0.239
0.118,0.144,0.738,0.217,0.486,0.41,0.044,0.095,0.144,0.118,0.738,0.497,0.197,0.375,0.115,0.049,0.408,0.322,0.271,0.446,0.299,0.253,0.239,0.521,0.479,0.192,-0.561,-0.161,-0.492,0.042
0.127,0.115,0.757,0.225,0.502,0.403,0.056,0.118,0.115,0.127,0.757,0.483,0.213,0.373,0.12,0.029,0.434,0.273,0.293,0.422,0.306,0.273,0.221,0.472,0.528,0.027,-0.35,-0.242,-0.357,0.165
0.12,0.1,0.779,0.201,0.525,0.458,0.05,0.08,0.1,0.12,0.779,0.555,0.224,0.338,0.134,0.023,0.448,0.294,0.258,0.472,0.291,0.247,0.244,0.555,0.445,0.051,-0.663,-0.289,-0.414,0.144
0.139,0.139,0.722,0.203,0.481,0.4,0.047,0.092,0.139,0.139,0.722,0.503,0.225,0.331,0.108,0.042,0.464,0.278,0.258,0.414,0.319,0.261,0.178,0.453,0.547,-0.03,-0.299,-0.298,-0.39,0.15
0.103,0.166,0.731,0.146,0.559,0.496,0.06,0.072,0.166,0.103,0.731,0.521,0.189,0.37,0.089,0.032,0.387,0.318,0.295,0.484,0.341,0.218,0.244,0.539,0.461,0.056,-0.798,-0.195,-0.597,0.185
0.167,0.118,0.715,0.222,0.467,0.429,0.051,0.045,0.118,0.167,0.715,0.47,0.245,0.373,0.132,0.025,0.52,0.215,0.266,0.423,0.31,0.239,0.261,0.502,0.498,0.413,-0.551,-0.41,-0.417,0.261
0.136,0.132,0.732,0.206,0.443,0.346,0.022,0.11,0.132,0.136,0.732,0.469,0.241,0.316,0.11,0.039,0.447,0.289,0.263,0.399,0.351,0.246,0.18,0.461,0.539,0.114,-0.19,-0.203,-0.428,0.03
0.128,0.15,0.722,0.084,0.639,0.586,0.07,0.053,0.15,0.128,0.722,0.551,0.198,0.339,0.053,0.026,0.485,0.247,0.269,0.551,0.269,0.185,0.264,0.52,0.48,-0.077,-0.965,-0.383,-0.467,0.283
0.212,0.122,0.667,0.135,0.494,0.423,0.038,0.058,0.122,0.212,0.667,0.474,0.288,0.288,0.096,0.032,0.551,0.224,0.224,0.423,0.301,0.199,0.237,0.481,0.519,0.41,-0.392,-0.613,-0.235,0.181
0.13,0.083,0.787,0.309,0.433,0.35,0.041,0.102,0.083,0.13,0.787,0.491,0.216,0.375,0.161,0.077,0.365,0.351,0.284,0.431,0.285,0.284,0.262,0.522,0.478,0.174,-0.509,-0.117,-0.367,-0.086
0.148,0.077,0.775,0.209,0.536,0.448,0.111,0.072,0.077,0.148,0.775,0.538,0.29,0.318,0.137,0.046,0.471,0.204,0.325,0.42,0.306,0.323,0.274,0.538,0.462,0.065,-0.422,-0.08,-0.128,0.307
0.095,0.111,0.794,0.294,0.492,0.421,0.048,0.063,0.111,0.095,0.794,0.556,0.151,0.381,0.159,0.103,0.444,0.278,0.278,0.452,0.246,0.302,0.373,0.635,0.365,0.371,-0.863,0.099,-0.439,0.153
0.117,0.174,0.709,0.153,0.517,0.423,0.047,0.109,0.174,0.117,0.709,0.468,0.202,0.381,0.089,0.028,0.423,0.264,0.313,0.443,0.351,0.23,0.223,0.498,0.502,0.159,-0.492,-0.117,-0.545,0.148
0.151,0.148,0.701,0.186,0.471,0.402,0.043,0.081,0.148,0.151,0.701,0.469,0.238,0.365,0.114,0.021,0.457,0.262,0.28,0.408,0.352,0.217,0.196,0.497,0.503,0.286,-0.41,-0.414,-0.511,0.172
0.154,0.073,0.773,0.211,0.526,0.445,0.069,0.081,0.073,0.154,0.773,0.534,0.259,0.316,0.121,0.053,0.441,0.275,0.283,0.47,0.271,0.267,0.247,0.498,0.502,-0.054,-0.54,-0.248,-0.209,0.13
0.187,0.18,0.634,0.171,0.432,0.343,0.035,0.074,0.18,0.187,0.634,0.459,0.252,0.345,0.089,0.047,0.603,0.212,0.185,0.363,0.397,0.207,0.163,0.361,0.639,0.318,-0.16,-0.521,-0.417,0.166
0.165,0.128,0.707,0.171,0.487,0.376,0.04,0.128,0.128,0.165,0.707,0.47,0.254,0.316,0.085,0.028,0.462,0.291,0.248,0.43,0.353,0.214,0.179,0.416,0.584,0.006,-0.206,-0.349,-0.314,0.072
0.113,0.113,0.775,0.158,0.563,0.486,0.032,0.064,0.113,0.113,0.775,0.527,0.199,0.334,0.103,0.035,0.447,0.264,0.289,0.502,0.325,0.186,0.283,0.572,0.428,0.105,-0.826,-0.273,-0.517,0.194
0.157,0.115,0.728,0.178,0.536,0.494,0.044,0.062,0.115,0.157,0.728,0.506,0.216,0.331,0.118,0.021,0.45,0.29,0.26,0.488,0.257,0.234,0.26,0.476,0.524,-0.005,-0.707,-0.462,-0.412,0.233
0.126,0.119,0.756,0.26,0.424,0.363,0.047,0.056,0.119,0.126,0.756,0.448,0.244,0.406,0.173,0.034,0.417,0.249,0.334,0.374,0.363,0.265,0.24,0.525,0.475,0.439,-0.457,-0.243,-0.593,0.134
0.178,0.133,0.689,0.122,0.511,0.456,0.033,0.044,0.133,0.178,0.689,0.467,0.267,0.333,0.078,0.011,0.522,0.211,0.267,0.467,0.4,0.122,0.278,0.533,0.467,0.57,-0.664,-0.444,-0.489,0.273
0.123,0.123,0.754,0.181,0.53,0.448,0.047,0.082,0.123,0.123,0.754,0.513,0.213,0.354,0.102,0.039,0.431,0.292,0.277,0.48,0.317,0.208,0.241,0.518,0.482,0.079,-0.635,-0.267,-0.466,0.113
0.132,0.104,0.764,0.225,0.5,0.396,0.033,0.121,0.104,0.132,0.764,0.511,0.203,0.341,0.126,0.033,0.44,0.313,0.247,0.456,0.275,0.264,0.225,0.462,0.538,-0.078,-0.387,-0.234,-0.327,0.104
0.137,0.162,0.701,0.117,0.569,0.503,0.061,0.056,0.162,0.137,0.701,0.558,0.213,0.32,0.081,0.036,0.523,0.203,0.274,0.503,0.269,0.213,0.269,0.533,0.467,0.124,-0.557,-0.155,-0.315,0.324
0.127,0.167,0.706,0.205,0.449,0.369,0.056,0.085,0.167,0.127,0.706,0.452,0.235,0.4,0.144,0.026,0.391,0.264,0.346,0.391,0.36,0.28,0.224,0.529,0.471,0.371,-0.315,-0.028,-0.464,0.142
0.14,0.108,0.752,0.209,0.511,0.414,0.044,0.082,0.108,0.14,0.752,0.526,0.216,0.361,0.139,0.056,0.43,0.309,0.262,0.447,0.274,0.265,0.224,0.493,0.507,0.018,-0.571,-0.36,-0.324,0.056
0.133,0.133,0.734,0.208,0.451,0.365,0.027,0.096,0.133,0.133,0.734,0.444,0.235,0.362,0.126,0.027,0.379,0.307,0.314,0.41,0.352,0.229,0.177,0.447,0.553,0.105,-0.287,-0.31,-0.538,0.043
0.122,0.108,0.769,0.161,0.577,0.51,0.049,0.052,0.108,0.122,0.769,0.531,0.203,0.35,0.112,0.035,0.402,0.28,0.318,0.5,0.248,0.241,0.273,0.591,0.409,0.092,-0.826,-0.267,-0.385,0.223
0.153,0.144,0.703,0.114,0.575,0.511,0.055,0.057,0.144,0.153,0.703,0.532,0.221,0.32,0.071,0.025,0.539,0.203,0.258,0.5,0.258,0.192,0.251,0.505,0.495,0.118,-0.578,-0.398,-0.333,0.316
0.152,0.25,0.598,0.141,0.424,0.293,0.0,0.087,0.25,0.152,0.598,0.435,0.185,0.402,0.076,0.076,0.554,0.25,0.196,0.391,0.402,0.196,0.163,0.38,0.62,0.421,-0.269,-0.175,-0.589,-0.011
0.19,0.14,0.67,0.206,0.442,0.396,0.063,0.071,0.14,0.19,0.67,0.429,0.277,0.343,0.117,0.028,0.492,0.221,0.287,0.381,0.325,0.256,0.269,0.5,0.5,0.577,-0.298,-0.312,-0.324,0.243
0.127,0.15,0.722,0.195,0.51,0.456,0.025,0.079,0.15,0.127,0.722,0.476,0.17,0.402,0.127,0.014,0.428,0.314,0.258,0.476,0.28,0.224,0.252,0.47,0.53,0.129,-0.751,-0.414,-0.625,0.156
0.05,0.043,0.907,0.29,0.54,0.487,0.053,0.1,0.043,0.05,0.907,0.553,0.18,0.367,0.187,0.02,0.263,0.383,0.353,0.493,0.23,0.303,0.293,0.68,0.32,-0.113,-0.92,-0.123,-0.589,0.044
0.142,0.147,0.712,0.139,0.558,0.488,0.077,0.06,0.147,0.142,0.712,0.55,0.233,0.332,0.096,0.034,0.498,0.224,0.279,0.457,0.267,0.248,0.231,0.529,0.471,0.113,-0.51,-0.305,-0.324,0.304
0.128,0.128,0.744,0.148,0.576,0.507,0.054,0.059,0.128,0.128,0.744,0.547,0.202,0.33,0.084,0.034,0.522,0.251,0.227,0.498,0.3,0.202,0.241,0.478,0.522,-0.081,-0.754,-0.435,-0.476,0.261
0.116,0.133,0.751,0.178,0.529,0.458,0.043,0.069,0.133,0.116,0.751,0.501,0.203,0.363,0.108,0.034,0.442,0.267,0.291,0.465,0.308,0.221,0.27,0.555,0.445,0.252,-0.688,-0.237,-0.512,0.175
0.136,0.134,0.729,0.229,0.435,0.363,0.032,0.097,0.134,0.136,0.729,0.44,0.233,0.403,0.149,0.017,0.401,0.285,0.314,0.388,0.355,0.257,0.225,0.546,0.454,0.456,-0.445,-0.251,-0.511,0.058
0.136,0.13,0.734,0.268,0.437,0.38,0.071,0.063,0.13,0.136,0.734,0.498,0.236,0.366,0.1,0.085,0.47,0.278,0.252,0.407,0.341,0.244,0.23,0.502,0.498,0.348,-0.399,-0.17,-0.382,0.045
0.143,0.123,0.735,0.284,0.405,0.325,0.072,0.095,0.123,0.143,0.735,0.451,0.26,0.382,0.187,0.041,0.401,0.273,0.326,0.327,0.366,0.34,0.221,0.494,0.506,0.269,-0.227,-0.149,-0.443,0.149
0.122,0.101,0.777,0.23,0.5,0.405,0.034,0.061,0.101,0.122,0.777,0.514,0.203,0.372,0.155,0.068,0.432,0.25,0.318,0.439,0.304,0.277,0.257,0.554,0.446,0.099,-0.682,-0.144,-0.421,0.145
0.154,0.124,0.722,0.167,0.525,0.46,0.04,0.066,0.124,0.154,0.722,0.482,0.225,0.348,0.083,0.038,0.52,0.222,0.258,0.472,0.326,0.207,0.265,0.472,0.528,0.2,-0.654,-0.313,-0.385,0.206
0.133,0.144,0.723,0.167,0.537,0.458,0.051,0.065,0.144,0.133,0.723,0.517,0.203,0.35,0.096,0.054,0.469,0.249,0.282,0.466,0.263,0.246,0.249,0.511,0.489,0.131,-0.563,-0.207,-0.362,0.199
0.063,0.056,0.881,0.142,0.689,0.596,0.02,0.096,0.056,0.063,0.881,0.609,0.132,0.265,0.093,0.036,0.377,0.344,0.278,0.646,0.169,0.185,0.278,0.49,0.51,-0.904,-1.001,-0.348,-0.48,0.126
0.182,0.101,0.716,0.166,0.517,0.459,0.091,0.088,0.101,0.182,0.716,0.473,0.307,0.311,0.071,0.024,0.459,0.24,0.301,0.422,0.341,0.226,0.196,0.466,0.534,0.119,-0.352,-0.465,-0.26,0.199
0.124,0.097,0.779,0.256,0.485,0.42,0.063,0.097,0.097,0.124,0.779,0.531,0.225,0.362,0.156,0.028,0.396,0.333,0.271,0.416,0.284,0.322,0.219,0.563,0.437,0.07,-0.575,-0.239,-0.385,0.123
0.172,0.121,0.706,0.216,0.434,0.369,0.058,0.075,0.121,0.172,0.706,0.471,0.286,0.328,0.114,0.056,0.459,0.274,0.267,0.388,0.333,0.267,0.184,0.459,0.541,0.237,-0.272,-0.304,-0.307,0.024
0.13,0.217,0.652,0.145,0.464,0.406,0.043,0.043,0.217,0.13,0.652,0.478,0.217,0.362,0.058,0.072,0.464,0.217,0.319,0.435,0.406,0.188,0.246,0.551,0.449,0.558,-0.449,0.136,-0.501,0.177
0.168,0.126,0.706,0.21,0.458,0.398,0.053,0.069,0.126,0.168,0.706,0.472,0.259,0.339,0.114,0.045,0.447,0.267,0.286,0.417,0.332,0.232,0.209,0.478,0.522,0.214,-0.362,-0.348,-0.371,0.134
0.157,0.157,0.687,0.169,0.494,0.422,0.012,0.048,0.157,0.157,0.687,0.518,0.193,0.349,0.145,0.048,0.41,0.361,0.229,0.434,0.301,0.241,0.169,0.518,0.482,0.018,-0.77,-0.6,-0.574,0.089
0.168,0.102,0.73,0.272,0.434,0.376,0.052,0.071,0.102,0.168,0.73,0.446,0.243,0.373,0.129,0.058,0.51,0.228,0.263,0.405,0.301,0.27,0.27,0.458,0.542,0.373,-0.404,-0.263,-0.31,0.134
0.138,0.124,0.738,0.13,0.582,0.53,0.046,0.029,0.124,0.138,0.738,0.524,0.21,0.343,0.092,0.046,0.444,0.268,0.288,0.513,0.262,0.207,0.28,0.553,0.447,0.146,-0.948,-0.381,-0.433,0.194
0.132,0.143,0.725,0.221,0.482,0.412,0.057,0.094,0.143,0.132,0.725,0.482,0.21,0.383,0.121,0.038,0.458,0.267,0.275,0.415,0.286,0.264,0.243,0.509,0.491,0.283,-0.419,-0.29,-0.399,0.121
0.151,0.089,0.76,0.164,0.548,0.459,0.034,0.096,0.089,0.151,0.76,0.555,0.233,0.274,0.089,0.027,0.486,0.288,0.226,0.527,0.281,0.185,0.24,0.486,0.514,-0.152,-0.48,-0.31,-0.234,0.157
0.136,0.136,0.729,0.195,0.502,0.43,0.054,0.09,0.136,0.136,0.729,0.511,0.222,0.339,0.118,0.032,0.439,0.294,0.267,0.434,0.321,0.262,0.19,0.466,0.534,-0.102,-0.476,-0.314,-0.462,0.173
0.155,0.15,0.695,0.211,0.444,0.352,0.057,0.079,0.15,0.155,0.695,0.489,0.253,0.336,0.115,0.071,0.469,0.275,0.256,0.376,0.346,0.263,0.189,0.45,0.55,0.211,-0.23,-0.258,-0.375,0.076
0.142,0.138,0.72,0.179,0.514,0.463,0.023,0.05,0.138,0.142,0.72,0.541,0.193,0.335,0.106,0.064,0.445,0.33,0.225,0.5,0.307,0.197,0.28,0.573,0.427,0.237,-0.944,-0.286,-0.495,0.073
0.016,0.016,0.968,0.226,0.694,0.565,0.032,0.113,0.016,0.016,0.968,0.677,0.097,0.306,0.21,0.016,0.29,0.387,0.323,0.645,0.129,0.258,0.306,0.565,0.435,-1.152,-1.026,-0.215,-0.55,0.229
0.095,0.081,0.824,0.277,0.492,0.436,0.052,0.077,0.081,0.095,0.824,0.498,0.202,0.421,0.202,0.023,0.337,0.288,0.375,0.441,0.25,0.312,0.34,0.671,0.329,0.439,-0.81,-0.051,-0.499,0.143
0.143,0.168,0.689,0.143,0.511,0.446,0.05,0.061,0.168,0.143,0.689,0.486,0.229,0.35,0.096,0.018,0.464,0.243,0.293,0.443,0.332,0.211,0.193,0.475,0.525,0.123,-0.43,-0.347,-0.521,0.266
0.213,0.128,0.66,0.128,0.5,0.426,0.043,0.074,0.128,0.213,0.66,0.468,0.287,0.277,0.043,0.032,0.543,0.255,0.202,0.426,0.372,0.181,0.191,0.426,0.574,0.249,-0.341,-0.551,-0.217,0.214
0.143,0.112,0.745,0.193,0.502,0.424,0.044,0.084,0.112,0.143,0.745,0.489,0.237,0.324,0.1,0.04,0.464,0.268,0.268,0.436,0.287,0.255,0.221,0.486,0.514,0.109,-0.402,-0.29,-0.309,0.119
0.105,0.124,0.771,0.188,0.568,0.53,0.064,0.06,0.124,0.105,0.771,0.56,0.184,0.35,0.128,0.023,0.455,0.248,0.297,0.496,0.226,0.267,0.346,0.658,0.342,0.294,-0.864,-0.104,-0.428,0.338
0.142,0.113,0.744,0.261,0.446,0.38,0.045,0.066,0.113,0.142,0.744,0.464,0.224,0.396,0.177,0.042,0.388,0.309,0.303,0.391,0.309,0.293,0.208,0.507,0.493,0.164,-0.528,-0.404,-0.487,0.084
0.172,0.115,0.713,0.123,0.549,0.5,0.049,0.041,0.115,0.172,0.713,0.525,0.262,0.287,0.074,0.033,0.443,0.311,0.246,0.484,0.32,0.164,0.221,0.549,0.451,0.179,-0.744,-0.595,-0.409,0.172
0.055,0.054,0.891,0.27,0.537,0.454,0.045,0.103,0.054,0.055,0.891,0.509,0.184,0.406,0.158,0.023,0.297,0.333,0.37,0.495,0.267,0.263,0.305,0.629,0.371,0.096,-0.791,-0.028,-0.525,0.033
0.143,0.165,0.692,0.165,0.505,0.396,0.033,0.136,0.165,0.143,0.692,0.48,0.198,0.355,0.073,0.029,0.425,0.33,0.245,0.458,0.308,0.201,0.172,0.443,0.557,0.008,-0.3,-0.332,-0.418,0.052
0.194,0.222,0.583,0.111,0.41,0.354,0.021,0.062,0.222,0.194,0.583,0.347,0.278,0.389,0.042,0.035,0.451,0.215,0.333,0.382,0.444,0.125,0.181,0.458,0.542,0.852,-0.22,-0.335,-0.548,0.043
0.111,0.111,0.778,0.22,0.518,0.424,0.055,0.1,0.111,0.111,0.778,0.518,0.207,0.352,0.1,0.042,0.478,0.246,0.277,0.466,0.31,0.228,0.254,0.507,0.493,0.07,-0.413,-0.126,-0.363,0.177
0.111,0.152,0.737,0.216,0.491,0.392,0.029,0.082,0.152,0.111,0.737,0.503,0.17,0.368,0.076,0.047,0.626,0.187,0.187,0.427,0.363,0.181,0.199,0.386,0.614,0.052,-0.299,-0.396,-0.546,0.269
0.119,0.128,0.752,0.21,0.471,0.416,0.035,0.073,0.128,0.119,0.752,0.485,0.226,0.345,0.126,0.038,0.405,0.292,0.303,0.42,0.336,0.252,0.223,0.538,0.462,0.188,-0.558,-0.222,-0.559,0.096
0.111,0.096,0.793,0.225,0.52,0.428,0.061,0.111,0.096,0.111,0.793,0.537,0.221,0.332,0.129,0.023,0.436,0.289,0.275,0.439,0.33,0.264,0.244,0.539,0.461,-0.016,-0.469,-0.19,-0.386,0.207
0.243,0.081,0.676,0.206,0.463,0.412,0.044,0.051,0.081,0.243,0.676,0.493,0.294,0.309,0.118,0.029,0.596,0.228,0.176,0.404,0.287,0.221,0.235,0.434,0.566,0.419,-0.411,-0.785,-0.135,0.28
0.128,0.143,0.729,0.15,0.527,0.421,0.037,0.101,0.143,0.128,0.729,0.5,0.217,0.33,0.091,0.047,0.451,0.278,0.271,0.463,0.308,0.227,0.207,0.461,0.539,-0.052,-0.447,-0.241,-0.413,0.051
0.1,0.182,0.718,0.214,0.468,0.382,0.023,0.105,0.182,0.1,0.718,0.527,0.159,0.359,0.123,0.041,0.441,0.35,0.209,0.441,0.355,0.218,0.118,0.377,0.623,-0.396,-0.407,-0.4,-0.769,0.068
0.129,0.116,0.755,0.194,0.542,0.484,0.042,0.068,0.116,0.129,0.755,0.49,0.19,0.384,0.103,0.035,0.426,0.268,0.306,0.51,0.245,0.223,0.294,0.539,0.461,0.206,-0.743,-0.217,-0.38,0.165
0.139,0.092,0.769,0.254,0.468,0.393,0.052,0.098,0.092,0.139,0.769,0.491,0.237,0.341,0.156,0.035,0.422,0.295,0.283,0.428,0.295,0.283,0.26,0.532,0.468,0.135,-0.425,-0.211,-0.33,0.098
0.134,0.112,0.754,0.169,0.53,0.44,0.052,0.101,0.112,0.134,0.754,0.462,0.24,0.352,0.109,0.022,0.366,0.287,0.347,0.467,0.298,0.227,0.26,0.549,0.451,0.198,-0.502,-0.205,-0.373,0.092
0.089,0.158,0.753,0.156,0.569,0.525,0.031,0.036,0.158,0.089,0.753,0.494,0.147,0.422,0.119,0.022,0.45,0.222,0.328,0.517,0.261,0.192,0.333,0.619,0.381,0.402,-1.035,-0.244,-0.705,0.252
0.122,0.122,0.756,0.258,0.452,0.376,0.027,0.086,0.122,0.122,0.756,0.462,0.195,0.403,0.136,0.041,0.421,0.312,0.267,0.421,0.339,0.231,0.208,0.475,0.525,0.164,-0.522,-0.374,-0.579,0.048
0.114,0.138,0.748,0.172,0.551,0.465,0.04,0.086,0.138,0.114,0.748,0.52,0.178,0.382,0.102,0.037,0.425,0.308,0.268,0.486,0.286,0.222,0.265,0.557,0.443,0.19,-0.779,-0.25,-0.484,0.13
0.104,0.142,0.754,0.199,0.517,0.431,0.047,0.066,0.142,0.104,0.754,0.512,0.19,0.365,0.114,0.052,0.445,0.28,0.275,0.417,0.336,0.251,0.213,0.507,0.493,0.056,-0.575,-0.316,-0.544,0.185
0.123,0.112,0.765,0.219,0.504,0.43,0.054,0.075,0.112,0.123,0.765,0.491,0.219,0.377,0.139,0.042,0.384,0.295,0.321,0.432,0.305,0.277,0.26,0.554,0.446,0.212,-0.638,-0.191,-0.432,0.131
0.138,0.112,0.75,0.242,0.46,0.37,0.022,0.103,0.112,0.138,0.75,0.482,0.208,0.33,0.107,0.061,0.486,0.295,0.22,0.434,0.322,0.228,0.189,0.409,0.591,-0.104,-0.343,-0.385,-0.416,-0.002
0.17,0.153,0.677,0.183,0.481,0.416,0.053,0.055,0.153,0.17,0.677,0.466,0.236,0.365,0.093,0.055,0.511,0.238,0.251,0.412,0.344,0.233,0.215,0.437,0.563,0.263,-0.497,-0.403,-0.404,0.186
0.14,0.07,0.791,0.24,0.442,0.357,0.016,0.093,0.07,0.14,0.791,0.465,0.264,0.318,0.132,0.078,0.349,0.302,0.349,0.473,0.271,0.194,0.326,0.612,0.388,0.557,-0.404,-0.019,-0.245,-0.212
0.136,0.136,0.729,0.195,0.498,0.425,0.054,0.09,0.136,0.136,0.729,0.507,0.226,0.339,0.118,0.032,0.439,0.29,0.271,0.43,0.326,0.262,0.19,0.471,0.529,-0.071,-0.461,-0.302,-0.463,0.165
0.109,0.109,0.782,0.221,0.515,0.469,0.03,0.023,0.109,0.109,0.782,0.525,0.185,0.366,0.142,0.053,0.482,0.254,0.264,0.465,0.294,0.231,0.264,0.505,0.495,0.061,-0.849,-0.409,-0.607,0.195
0.136,0.136,0.728,0.146,0.546,0.48,0.054,0.072,0.136,0.136,0.728,0.499,0.227,0.34,0.083,0.029,0.431,0.285,0.283,0.47,0.322,0.214,0.225,0.501,0.499,0.066,-0.651,-0.352,-0.467,0.17
0.12,0.116,0.763,0.169,0.546,0.466,0.048,0.072,0.116,0.12,0.763,0.502,0.217,0.341,0.08,0.056,0.422,0.285,0.293,0.498,0.313,0.193,0.281,0.538,0.462,0.176,-0.694,-0.189,-0.403,0.067
0.14,0.154,0.707,0.198,0.444,0.358,0.025,0.078,0.154,0.14,0.707,0.455,0.229,0.366,0.126,0.056,0.397,0.316,0.288,0.391,0.369,0.243,0.201,0.478,0.522,0.281,-0.456,-0.264,-0.55,0.007
0.11,0.124,0.766,0.148,0.579,0.517,0.053,0.053,0.124,0.11,0.766,0.541,0.201,0.335,0.105,0.033,0.483,0.225,0.292,0.512,0.273,0.215,0.292,0.526,0.474,0.007,-0.783,-0.236,-0.496,0.265
0.117,0.107,0.776,0.158,0.584,0.491,0.051,0.081,0.107,0.117,0.776,0.53,0.202,0.348,0.098,0.037,0.445,0.267,0.289,0.506,0.261,0.229,0.285,0.552,0.448,0.068,-0.74,-0.222,-0.347,0.17
0.151,0.143,0.706,0.188,0.467,0.358,0.032,0.103,0.143,0.151,0.706,0.448,0.233,0.366,0.111,0.058,0.44,0.281,0.279,0.414,0.321,0.247,0.233,0.462,0.538,0.31,-0.365,-0.21,-0.359,-0.031
0.094,0.1,0.806,0.229,0.547,0.429,0.065,0.082,0.1,0.094,0.806,0.576,0.188,0.376,0.171,0.053,0.424,0.282,0.294,0.453,0.265,0.312,0.265,0.565,0.435,-0.061,-0.683,-0.086,-0.418,0.221
0.16,0.132,0.708,0.175,0.468,0.4,0.043,0.077,0.132,0.16,0.708,0.46,0.269,0.322,0.105,0.031,0.471,0.244,0.285,0.411,0.371,0.228,0.193,0.443,0.557,0.124,-0.35,-0.345,-0.441,0.133
0.193,0.101,0.707,0.207,0.407,0.327,0.039,0.108,0.101,0.193,0.707,0.454,0.323,0.265,0.105,0.043,0.407,0.335,0.258,0.378,0.385,0.245,0.146,0.428,0.572,0.113,-0.09,-0.33,-0.283,-0.05
